#;#;#;#;#;#;#;#;#;#;#;#;#;#;x
EVTNAME200001;Der Dom zu Köln;;;;;;;;;;;;;x
EVTDESC200001;Romantic sentiment and evolving nationalistic spirit of our people have evoked a high interest in the medieval age, which is seen as the root of the german culture. A symbol of these far away and backward times are the cathedrals of gothic architectural style. Cologne, once the biggest german city, and one of the finest places in the times of the Holy Roman Empire, has one of the greatest cathredrals in human history - which is a large, abandoned construction area. Founded in the 13th century, the building work was suspended in the 1530s. Even the old construction crane is there above! Since 1814, when the construction plans were found again by Georg Moller in Darmstadt, there were several voices to revive the work of our ancestors - and new founded societies have argued, that this project should not be only a private intention. Maybe we should give state support, and finish this great gothic masterpiece, in the name of the german nation!;;;;;;;;;;;;;x
EVTOPTA200001;Dô jehürt ne Schpitz drop! (Aye);;;;;;;;;;;;;x
EVTOPTB200001;Da sollte sich mal wer drum kümmern… (Nay);;;;;;;;;;;;;x
EVTNAME200002;The work resumes;;;;;;;;;;;;;x
EVTDESC200002;Today, our $MONARCHTITLE$ layed the second corner stone of the Cologne cathedral, after 300 years of building freeze. 'Here, where the corner stone lies, there should be the towers, which will form the most beautiful gate in the whole world!';;;;;;;;;;;;;x
EVTOPTA200002;Nisch kleckern - klotzen, jong! (Go ahead);;;;;;;;;;;;;x
EVTNAME200003;The completion of the cathedral;;;;;;;;;;;;;x
EVTDESC200003;In a celebration, the Cathedral of Cologne was inaugurated today. This shows clearly the high cultural and technical standard of our great nation!;;;;;;;;;;;;;x
EVTOPTA200003;Nä, watt is dä schön… su jett Schönes han isch att nie jesin! (Beautiful!);;;;;;;;;;;;;x
cologne_cathedral_title;The Cathedral of Cologne;;;;;;;;;;;;;x
cologne_cathedral_desc;With the 19th century romantic enthusiasm for the Middle Ages, and spurred on by the lucky discovery of the original plan for the façade, it was decided, with the commitment of the Court, to complete the cathedral. It was achieved by civic effort. In 1840, the burghers of Cologne petitioned the king for the foundation of a association regarding the buidling of the Cologne cathedral. After the permission and promised financial help, the Central-Dombauverein was founded in 1842. The association raised two-thirds of the enormous costs (over 1 billion US-Dollar in today's money), while the state supplied the remaining third.;;;;;;;;;;;;;x
EVTNAME200005;The German anthem;;;;;;;;;;;;x;
