EIC;The East India Company;;;;;;;;;;;;x
EIC_absolute_monarchy;The Empire of the East Indies;;;;;;;;;;;;x
EIC_prussian_constitutionalism;The Empire of the East Indies;;;;;;;;;;;;x
EIC_hms_government;The Empire of the East Indies;;;;;;;;;;;;x
EIC_absolute_monarchy_ADJ;Imperial;;;;;;;;;;;;x
EIC_prussian_constitutionalism_ADJ;Imperial;;;;;;;;;;;;x
EIC_hms_government_ADJ;Imperial;;;;;;;;;;;;x
EIC_ADJ;Company;;;;;;;;;;;;x
EIC_reactionary;Court of Directors;;;;;;;;;;;;x
UTI;Territory Exchange;;;;;;;;;;;;x
EVTNAME9990001;Territorial Integration;;;;;;;;;;;;x
EVTDESC9990001;Our recently conquered territory has been fully integrated into our administration.;;;;;;;;;;;;x
EVTDESC9990002;The unfortunate rebellion has left our administration in the gutter in Parliament's mind and a bill has recently passed liquidating the company, they now seek to sieze all of our holdings for the Crown.;;;;;;;;;;;;x
EVTNAME9990003;The Company Refuses;;;;;;;;;;;;x
EVTDESC9990003;The East India Company, run by fools as always has refused to the changing of hands of their holdings, for the good of the common Indian we must remove them by force.;;;;;;;;;;;;x
EVTNAME9990000;The End of the East India Company;;;;;;;;;;;;x
EVTDESC9990004;In the aftermath of the Sepoy Rebellion, under the provisions of the Government of India Act $YEAR$, the British Government nationalised the Company and thus the Crown took over its Indian possessions, its administrative powers and machinery, and its armed forces. The era of Company rule in India has come to an end. \n\n It accomplished a work such as in the whole history of the human race no other trading Company ever attempted, and such as none, surely, is likely to attempt in the years to come. \n\n - The Times;;;;;;;;;;;;x
EVTDESC9990005;The British armies have been sent packing and we are now free to do with India as we see fit, our shareholders have moved to Calcutta and all of our affairs our strictly our own. Our forces have seized all British territory in Asia apart from Australia and New Zealand and all Princely states will be pressured to accept our suzerainty. \n\nThe former Governer-General James Andrew Broun-Ramsay, The Earl of Dalhousie, will be henceforth be crowned as Emperor Ramsay, the Honourable Emperor of the East Indian Empire. This is a glorious day!;;;;;;;;;;;;x
