;;;;;;;;;;;;;;;;;x
end_of_natural_dyes_title;An End to Natural Dyes?;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
end_of_natural_dyes_desc;The discovery of man-made synthetic dyes in the mid-19th century triggered a long decline in the large-scale market for natural dyes. Synthetic dyes, which can be produced in large quantities, quickly superseded natural dyes for the commercial textile production enabled by the industrial revolution, and unlike natural dyes, are suitable for the synthetic fibres that followed. In a few of our provinces, the production of natural dyes is in a steady decline for a few years and now producers can barely sell their product. Faced with bankruptcy, most dye producers are looking for new goods to sell. We can help them look for new markets.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;
vassal_stop_paying_vassal_payments_title;Stop Paying Overlord Taxes;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
vassal_stop_paying_vassal_payments_desc;Our overlord issued an order allowing us to cease any contribution to their offers.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
turn_off_vassal_payments_title;Exempt Vassals from Contributing to our Treasury;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
turn_off_vassal_payments_desc;Our coffers are full enough and members of the cabinet have put forward the proposal of exempting our vassals, not the substates, from contributing to $COUNTRY$'s treasury. This tax break would boost our relations with them in the short term, but wouldn't benefit our finances in any way.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
turn_on_vassal_payments_title;Oblige Vassals to Contribute to our Treasury;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
turn_on_vassal_payments_desc;The earlier tax break offered to vassals has run its course. We need that every vassal of $COUNTRY$ to do their part and contribute to the maintenance of $COUNTRY_ADJ$ glory.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
specific_trade_policy_title;Choose a Trade Policy;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
specific_trade_policy_desc;While the ruling party has its own broad trade policy, there are several schools of economic thought competing competing for space in the government. Adopting a trade policy will take away some of the flexibility in setting tariffs, but it will allow for more efficient tariff collection and possibly other benefits over what a volatile tariff police might have. \n\n\n§YNOTE: Researching Market Regulations will unlock more options when this decision is taken. You can disable this decision entirely and for the rest of the game by taking it and choosing the last option in the fired event.§W;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
rescind_trade_policy_title;AI: Rescind Trade Policy;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
rescind_trade_policy_desc;Our trade policy, or our neighbor's, no longer correspond to the ruling party wishes.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
chile_treaty_of_peace_and_friendship_title;The Antofagasta Border Treaty;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
chile_treaty_of_peace_and_friendship_desc;Too much blood has been shed over Antofagasta and now the nations involved are willing to sit on the table and discuss the issue. With international help and arbitration, we drafted a proposal where we are offering a 60,000¤ sum as indemnification payment to all parties involved, paid in installments thought the next years and with each part getting half of the total sum. In return they will abandon their claims over Antofagasta. Any territories we might hold from the involved parties that are not claimed by $COUNTRY$ will be returned to their rightful owners and any claims we have in regions other than Antofagasta will be put to international arbitration.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
name_oslo_title;Rename Christiania;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
name_oslo_desc;After being destroyed by a fire in 1624, during the reign of King Christian IV, the city then known as Oslo was moved closer to Akershus Fortress and renamed Christiania in the king's honour. As the years passed many in the government feel the original name, derived from the Old Norse, would be a much better name to represent the city's legacy than the name of an old monarch.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
january_uprising_victory_title;The Polish Uprising is Victorious;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
january_uprising_victory_desc;The success of the latest uprising means the recognition of Poland as a free, sovereign state. Our days of being subjected to foreign powers are over.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
copenhagen_convention_title;Call for a Convention Over the Danish Straits;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
