Dummy_local_title;Dummy_local;;;;;;;;;;;;;x
Dummy_local_desc;If you see this something has gone VERY wrong!;;;;;;;;;;;;;x
USAFlagOverride_title;Override Dynamic USA Flag;;;;;;;;;;;;;x
USAFlagOverride_desc;The USA will recive events to change the flag based on its ingame states. This option can be taken for a constant default flag.;;;;;;;;;;;;;x
USAFlagDeOverride_title;Stop Overridden Dynamic USA Flag;;;;;;;;;;;;;x
USAFlagDeOverride_desc;Return to the dynamic flag system.;;;;;;;;;;;;;x
dominion_5th;Dominion;;;;;;;;;;;;;
dominion_5th_ruler;Prime Minister;;;;;;;;;;;;;
dominion_6th;Dominion;;;;;;;;;;;;;
dominion_6th_ruler;Prime Minister;;;;;;;;;;;;;
dominion_7th;Dominion;;;;;;;;;;;;;
dominion_7th_ruler;Prime Minister;;;;;;;;;;;;;
dominion_8th;Dominion;;;;;;;;;;;;;
dominion_8th_ruler;Prime Minister;;;;;;;;;;;;;
dominion_9th;Dominion;;;;;;;;;;;;;
dominion_9th_ruler;Prime Minister;;;;;;;;;;;;;
dominion_10th;Dominion;;;;;;;;;;;;;
dominion_10th_ruler;Prime Minister;;;;;;;;;;;;;
dominion_11th;Dominion;;;;;;;;;;;;;
dominion_11th_ruler;Prime Minister;;;;;;;;;;;;;
dominion_12th;Dominion;;;;;;;;;;;;;
dominion_12th_ruler;Prime Minister;;;;;;;;;;;;;
dominion_13th;Dominion;;;;;;;;;;;;;
dominion_13th_ruler;Prime Minister;;;;;;;;;;;;;
dominion_14th;Dominion;;;;;;;;;;;;;
dominion_14th_ruler;Prime Minister;;;;;;;;;;;;;
dominion_15th;Dominion;;;;;;;;;;;;;
dominion_15th_ruler;Prime Minister;;;;;;;;;;;;;
dominion_16th;Dominion;;;;;;;;;;;;;
dominion_16th_ruler;Prime Minister;;;;;;;;;;;;;
dominion_17th;Dominion;;;;;;;;;;;;;
dominion_17th_ruler;Prime Minister;;;;;;;;;;;;;
dominion_18th;Dominion;;;;;;;;;;;;;
dominion_18th_ruler;Prime Minister;;;;;;;;;;;;;
dominion_19th;Dominion;;;;;;;;;;;;;
dominion_19th_ruler;Prime Minister;;;;;;;;;;;;;
dominion_20th;Dominion;;;;;;;;;;;;;
dominion_20th_ruler;Prime Minister;;;;;;;;;;;;;
dominion_21st;Dominion;;;;;;;;;;;;;
dominion_21st_ruler;Prime Minister;;;;;;;;;;;;;
dominion_22nd;Dominion;;;;;;;;;;;;;
dominion_22nd_ruler;Prime Minister;;;;;;;;;;;;;
dominion_23rd;Dominion;;;;;;;;;;;;;
dominion_23rd_ruler;Prime Minister;;;;;;;;;;;;;
dominion_24th;Dominion;;;;;;;;;;;;;
dominion_24th_ruler;Prime Minister;;;;;;;;;;;;;
dominion_25th;Dominion;;;;;;;;;;;;;
dominion_25th_ruler;Prime Minister;;;;;;;;;;;;;
dominion_26th;Dominion;;;;;;;;;;;;;
dominion_26th_ruler;Prime Minister;;;;;;;;;;;;;
dominion_27th;Dominion;;;;;;;;;;;;;
dominion_27th_ruler;Prime Minister;;;;;;;;;;;;;
dominion_28th;Dominion;;;;;;;;;;;;;
dominion_28th_ruler;Prime Minister;;;;;;;;;;;;;
dominion_29th;Dominion;;;;;;;;;;;;;
dominion_29th_ruler;Prime Minister;;;;;;;;;;;;;
dominion_30th;Dominion;;;;;;;;;;;;;
dominion_30th_ruler;Prime Minister;;;;;;;;;;;;;
dominion_31st;Dominion;;;;;;;;;;;;;
dominion_31st_ruler;Prime Minister;;;;;;;;;;;;;
dominion_32nd;Dominion;;;;;;;;;;;;;
dominion_32nd_ruler;Prime Minister;;;;;;;;;;;;;
dominion_33rd;Dominion;;;;;;;;;;;;;
dominion_33rd_ruler;Prime Minister;;;;;;;;;;;;;
dominion_34th;Dominion;;;;;;;;;;;;;
dominion_34th_ruler;Prime Minister;;;;;;;;;;;;;
dominion_35th;Dominion;;;;;;;;;;;;;
dominion_35th_ruler;Prime Minister;;;;;;;;;;;;;
dominion_36th;Dominion;;;;;;;;;;;;;
dominion_36th_ruler;Prime Minister;;;;;;;;;;;;;
dominion_37th;Dominion;;;;;;;;;;;;;
dominion_37th_ruler;Prime Minister;;;;;;;;;;;;;
dominion_38th;Dominion;;;;;;;;;;;;;
dominion_38th_ruler;Prime Minister;;;;;;;;;;;;;
dominion_39th;Dominion;;;;;;;;;;;;;
dominion_39th_ruler;Prime Minister;;;;;;;;;;;;;
democracy_5th;Republic;;;;;;;;;;;;;
democracy_5th_ruler;President;;;;;;;;;;;;;
democracy_6th;Republic;;;;;;;;;;;;;
democracy_6th_ruler;President;;;;;;;;;;;;;
democracy_7th;Republic;;;;;;;;;;;;;
democracy_7th_ruler;President;;;;;;;;;;;;;
democracy_8th;Republic;;;;;;;;;;;;;
democracy_8th_ruler;President;;;;;;;;;;;;;
democracy_9th;Republic;;;;;;;;;;;;;
democracy_9th_ruler;President;;;;;;;;;;;;;
democracy_10th;Republic;;;;;;;;;;;;;
democracy_10th_ruler;President;;;;;;;;;;;;;
democracy_11th;Republic;;;;;;;;;;;;;
democracy_11th_ruler;President;;;;;;;;;;;;;
democracy_12th;Republic;;;;;;;;;;;;;
democracy_12th_ruler;President;;;;;;;;;;;;;
democracy_13th;Republic;;;;;;;;;;;;;
democracy_13th_ruler;President;;;;;;;;;;;;;
democracy_14th;Republic;;;;;;;;;;;;;
democracy_14th_ruler;President;;;;;;;;;;;;;
democracy_15th;Republic;;;;;;;;;;;;;
democracy_15th_ruler;President;;;;;;;;;;;;;
democracy_16th;Republic;;;;;;;;;;;;;
democracy_16th_ruler;President;;;;;;;;;;;;;
democracy_17th;Republic;;;;;;;;;;;;;
democracy_17th_ruler;President;;;;;;;;;;;;;
democracy_18th;Republic;;;;;;;;;;;;;
democracy_18th_ruler;President;;;;;;;;;;;;;
democracy_19th;Republic;;;;;;;;;;;;;
democracy_19th_ruler;President;;;;;;;;;;;;;
democracy_20th;Republic;;;;;;;;;;;;;
democracy_20th_ruler;President;;;;;;;;;;;;;
democracy_21st;Republic;;;;;;;;;;;;;
democracy_21st_ruler;President;;;;;;;;;;;;;
democracy_22nd;Republic;;;;;;;;;;;;;
democracy_22nd_ruler;President;;;;;;;;;;;;;
democracy_23rd;Republic;;;;;;;;;;;;;
democracy_23rd_ruler;President;;;;;;;;;;;;;
democracy_24th;Republic;;;;;;;;;;;;;
democracy_24th_ruler;President;;;;;;;;;;;;;
democracy_25th;Republic;;;;;;;;;;;;;
democracy_25th_ruler;President;;;;;;;;;;;;;
democracy_26th;Republic;;;;;;;;;;;;;
democracy_26th_ruler;President;;;;;;;;;;;;;
democracy_27th;Republic;;;;;;;;;;;;;
democracy_27th_ruler;President;;;;;;;;;;;;;
democracy_28th;Republic;;;;;;;;;;;;;
democracy_28th_ruler;President;;;;;;;;;;;;;
democracy_29th;Republic;;;;;;;;;;;;;
democracy_29th_ruler;President;;;;;;;;;;;;;
democracy_30th;Republic;;;;;;;;;;;;;
democracy_30th_ruler;President;;;;;;;;;;;;;
democracy_31st;Republic;;;;;;;;;;;;;
democracy_31st_ruler;President;;;;;;;;;;;;;
democracy_32nd;Republic;;;;;;;;;;;;;
democracy_32nd_ruler;President;;;;;;;;;;;;;
democracy_33rd;Republic;;;;;;;;;;;;;
democracy_33rd_ruler;President;;;;;;;;;;;;;
democracy_34th;Republic;;;;;;;;;;;;;
democracy_34th_ruler;President;;;;;;;;;;;;;
democracy_35th;Republic;;;;;;;;;;;;;
democracy_35th_ruler;President;;;;;;;;;;;;;
democracy_36th;Republic;;;;;;;;;;;;;
democracy_36th_ruler;President;;;;;;;;;;;;;
democracy_37th;Republic;;;;;;;;;;;;;
democracy_37th_ruler;President;;;;;;;;;;;;;
democracy_38th;Republic;;;;;;;;;;;;;
democracy_38th_ruler;President;;;;;;;;;;;;;
democracy_39th;Republic;;;;;;;;;;;;;
democracy_39th_ruler;President;;;;;;;;;;;;;
