;;;;;;;;;;;;x;
BRA;Brunswick;;;;;;;;;;;;x
BRA_ADJ;Brunswicker;;;;;;;;;;;;x
CAN_13;Columbia;;;;;;;;;;;;x
PROV13;New Westminster;;;;;;;;;;;;x
PROV17;Stikine;;;;;;;;;;;;x
PROV2092;Klein Roo;;;;;;;;;;;;x
PROV2093;Oos Roo;;;;;;;;;;;;x
PROV2558;Weste Roo;;;;;;;;;;;;x
CAN_19;New Caledonia;;;;;;;;;;;;x
PROV19;New Caledonia;;;;;;;;;;;;x
PROV20;Okanagan;;;;;;;;;;;;x
PROV21;Kootenay;;;;;;;;;;;;x
PROV26;Bow River;;;;;;;;;;;;x
PROV44;Repulse Bay;;;;;;;;;;;;x
CAN_46;Upper Canada;;;;;;;;;;;;x
CAN_50;Northern Ontario;;;;;;;;;;;;x
CAN_58;Lower Canada;;;;;;;;;;;;x
CAN_60;Northern Quebec;;;;;;;;;;;;x
ENG_68;Maritimes;;;;;;;;;;;;x
MEX_94;Nevada;;;;;;;;;;;;x
MEX_97;Utah;;;;;;;;;;;;x
USA_201;Georgia;;;;;;;;;;;;x
USA_205;South Carolina;;;;;;;;;;;;x
ENG_258;Connacht;;;;;;;;;;;;x
ENG_263;Leinster;;;;;;;;;;;;x
RUS_343;Helsinki;;;;;;;;;;;;x
RUS_345;Turku;;;;;;;;;;;;x
HOL_369;Holstein;;;;;;;;;;;;x
SCH_370;Schleswig;;;;;;;;;;;;x
PROV381;Limburg;;;;;;;;;;;;x
BEL_387;Flanders;;;;;;;;;;;;x
BEL_394;Wallonia;;;;;;;;;;;;x
SPA_492;Vasconia;;;;;;;;;;;;x
SPA_495;Aragon;;;;;;;;;;;;x
HAN_528;Lower Elbe;;;;;;;;;;;;x
HAN_534;Hanover;;;;;;;;;;;;x
HAN_540;East Friesland;;;;;;;;;;;;x
PRU_544;Mecklenburg;;;;;;;;;;;;x
PRU_546;Pomerania;;;;;;;;;;;;x
PRU_553;Anhalt;;;;;;;;;;;;x
PRU_554;Thuringia;;;;;;;;;;;;x
SAX_558;Saxony;;;;;;;;;;;;x
PRU_570;Palatinate;;;;;;;;;;;;x
PRU_575;Rheinland;;;;;;;;;;;;x
PRU_578;Eastern Rheinland;;;;;;;;;;;;x
BAV_595;Franconia;;;;;;;;;;;;x
BAV_599;Upper Bavaria;;;;;;;;;;;;x
SPA_610;Caroline Islands;;;;;;;;;;;;x
AUS_652;Banat;;;;;;;;;;;;x
MOL_676;Bessarabia;;;;;;;;;;;;x
PRU_682;Lower Silesia;;;;;;;;;;;;x
PRU_684;Upper Silesia;;;;;;;;;;;;x
PROV704;Nowy Sacz;;;;;;;;;;;;x
RUS_706;Masovia;;;;;;;;;;;;x
PROV711;Siedlce;;;;;;;;;;;;x
PROV748;Grosseto;;;;;;;;;;;;x
SAR_765;Sardinia & Corsica;;;;;;;;;;;;x
FRA_801;Tahiti;;;;;;;;;;;;x
TUR_805;Southern Macedonia;;;;;;;;;;;;x
TUR_806;Northern Macedonia;;;;;;;;;;;;x
TUR_809;Eastern Rumelia;;;;;;;;;;;;x
TUR_823;Western Thrace;;;;;;;;;;;;x
PROV829;Xanthe;;;;;;;;;;;;x
TUR_876;Ankara;;;;;;;;;;;;x
TUR_880;Kastamonu;;;;;;;;;;;;x
TUR_882;Trabizond;;;;;;;;;;;;x
TUR_890;Van;;;;;;;;;;;;x
TUR_893;Diyarbakir;;;;;;;;;;;;x
TUR_894;Adana;;;;;;;;;;;;x
RUS_940;Pinsk;;;;;;;;;;;;x
PROV950;Uzhgorod;;;;;;;;;;;;x
RUS_973;Zaporizhia;;;;;;;;;;;;x
PROV1082;Haishenwai;;;;;;;;;;;;x
JAP_1086;Sakhalin;;;;;;;;;;;;x
PROV1087;Otomari;;;;;;;;;;;;x
JAP_1088;Ezo;;;;;;;;;;;;x
AST_1097;New Caledonia;;;;;;;;;;;;x
PER_1116;Mazandaran;;;;;;;;;;;;x
PER_1128;Lorestan;;;;;;;;;;;;x
PER_1132;Khuzestan;;;;;;;;;;;;x
PER_1136;Fars;;;;;;;;;;;;x
PER_1140;Kerman;;;;;;;;;;;;x
YEM_1178;Sana'a;;;;;;;;;;;;x
AFG_1209;Pashtunistan;;;;;;;;;;;;x
KOK_1210;Bandakshan;;;;;;;;;;;;x
AFG_1214;Kandahar;;;;;;;;;;;;x
PAN_1233;Amritsar;;;;;;;;;;;;x
ENG_1243;Bundelkhand;;;;;;;;;;;;x
ENG_1244;Awadh;;;;;;;;;;;;x
NEP_1326;Western Himalayas;;;;;;;;;;;;x
SIA_1352;Pattani;;;;;;;;;;;;x
SIA_1355;Shan;;;;;;;;;;;;x
LUA_1356;Laos;;;;;;;;;;;;x
SIA_1358;Isan;;;;;;;;;;;;x
PROV1360;Xiangabouli;;;;;;;;;;;;x
DAI_1369;Tonkin;;;;;;;;;;;;x
DAI_1375;Annam;;;;;;;;;;;;x
DAI_1380;Cochinchina;;;;;;;;;;;;x
ENG_1384;Southern Malaya;;;;;;;;;;;;x
ENG_1391;Northern Malaya;;;;;;;;;;;;x
SIA_1392;Ayutthaya;;;;;;;;;;;;x
BRU_1394;West Borneo;;;;;;;;;;;;x
BRU_1396;Sabah;;;;;;;;;;;;x
NET_1401;Siak;;;;;;;;;;;;x
YEM_1412;Aden;;;;;;;;;;;;x
NET_1413;West Java;;;;;;;;;;;;x
NET_1418;East Java;;;;;;;;;;;;x
NET_1423;East Borneo;;;;;;;;;;;;x
NET_1426;South Borneo;;;;;;;;;;;;x
NET_1446;Timor;;;;;;;;;;;;x
NET_1447;Moluccas;;;;;;;;;;;;x
NET_1449;Celebes;;;;;;;;;;;;x
CHI_1465;Eastern Mongolia;;;;;;;;;;;;x
CHI_1468;Western Mongolia;;;;;;;;;;;;x
PROV1469;Uriankhai;;;;;;;;;;;;x
CHI_1470;South Anhui;;;;;;;;;;;;x
CHI_1477;North Anhui;;;;;;;;;;;;x
CHI_1479;Fengtian;;;;;;;;;;;;x
CHI_1482;Fujian;;;;;;;;;;;;x
CHI_1485;Formosa;;;;;;;;;;;;x
CHI_1490;Gansu;;;;;;;;;;;;x
CHI_1493;Canton;;;;;;;;;;;;x
CHI_1496;Hong Kong;;;;;;;;;;;;x
CHI_1499;Hainan;;;;;;;;;;;;x
CHI_1502;Guangxi;;;;;;;;;;;;x
CHI_1505;Guizhou;;;;;;;;;;;;x
CHI_1508;East Henan;;;;;;;;;;;;x
CHI_1510;West Henan;;;;;;;;;;;;x
CHI_1519;West Hubei;;;;;;;;;;;;x
CHI_1522;East Hubei;;;;;;;;;;;;x
PROV1523;Xiangyang;;;;;;;;;;;;x
CHI_1524;North Hunan;;;;;;;;;;;;x
CHI_1526;South Hunan;;;;;;;;;;;;x
CHI_1532;Inner Mongolia;;;;;;;;;;;;x
CHI_1540;North Jiangsu;;;;;;;;;;;;x
PROV1542;Xuzhou;;;;;;;;;;;;x
CHI_1545;North Jiangxi;;;;;;;;;;;;x
CHI_1547;South Jiangxi;;;;;;;;;;;;x
CHI_1552;Heilongjiang;;;;;;;;;;;;x
CHI_1555;Kirin;;;;;;;;;;;;x
PROV1559;Xian;;;;;;;;;;;;x
CHI_1559;Shaanxi;;;;;;;;;;;;x
CHI_1563;West Shandong;;;;;;;;;;;;x
CHI_1565;East Shandong;;;;;;;;;;;;x
CHI_1572;Shanxi;;;;;;;;;;;;x
CHI_1578;West Sichuan;;;;;;;;;;;;x
CHI_1579;East Sichuan;;;;;;;;;;;;x
TIB_1587;Eastern Himalayas;;;;;;;;;;;;x
CHI_1594;Kashgar;;;;;;;;;;;;x
CHI_1600;Urumqui;;;;;;;;;;;;x
CHI_1601;Yunnan;;;;;;;;;;;;x
CHI_1604;North Zhejiang;;;;;;;;;;;;x
CHI_1610;South Zhejiang;;;;;;;;;;;;x
PROV1612;Baoding;;;;;;;;;;;;x
CHI_1612;Baoding;;;;;;;;;;;;x
PROV1616;Peking;;;;;;;;;;;;x
CHI_1616;Peking;;;;;;;;;;;;x
PROV1643;Ishikari;;;;;;;;;;;;x
PROV1644;Nemuro;;;;;;;;;;;;x
JAP_1649;Kanto;;;;;;;;;;;;x
JAP_1654;Bonin Islands;;;;;;;;;;;;x
JAP_1655;Kansai;;;;;;;;;;;;x
JAP_1640;Chugoku;;;;;;;;;;;;x
