Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
dayak;Dajak;Dayak;Dayak;;Dayak;;;;;;;;;
acehnese;Atjehnese;Acehnese;Acehnese;;Acehnese;;;;;;;;;
balinese;Balinese;Balinese;Balinese;;Balinese;;;;;;;;;
batak;Batak;Batak;Batak;;Batak;;;;;;;;;
betawi;Betawi;Betawi;Betawi;;Betawi;;;;;;;;;
bantenese;Bantenese;Bantenese;Bantenese;;Bantenese;;;;;;;;;
banjarnese;Bandjarnese;Banjarnese;Banjarnese;;Banjarnese;;;;;;;;;
bunginese;Boeginese;Buginese;Buginese;;Buginese;;;;;;;;;
makassarese;Makassarese;Makassarese;Makassarese;;Makassarese;;;;;;;;;
minahasan;Minahasan;Minahasan;Minahasan;;Minahasan;;;;;;;;;
minangkabau;Minangkabau;Minangkabau;Minangkabau;;Minangkabau;;;;;;;;;
sundanese;Soendanese;Sundanese;Sundanese;;Sundanese;;;;;;;;;
sasak;Sasak;Sasak;Sasak;;Sasak;;;;;;;;;
madurese;Madoerese;Madurese;Madurese;;Madurese;;;;;;;;;
sumatran;Sumatran;;;;;;;;;;;;;
moro;Moro;;;;;;;;;;;;;
welsh;Welsh;;;;;;;;;;;;;
wallonian;Walloon;;;;;;;;;;;;;
volga_german;Eastern German;;;;;;;;;;;;;
arpitan;Arpitan;;;;;;;;;;;;;
hanhui;Hui;;;;;;;;;;;;;
siebenburger;Siebenburger;;;;;;;;;;;;;
anglo_canadian;Anglo-Canadian;Anglo-canadien;Anglokanadisch;;Anglocanadiense;;;;;;;;;
french_canadian;French-Canadien;Franco-canadien;Frankokanadisch;;Franco-canadiense;;;;;;;;;
anglo_indian;Anglo-Indian;;;;;;;;;;;;;
british;English;;;;;;;;;;;;;
dagestani;Dagestani;;;;;;;;;;;;;
circassian;Circassian;;;;;;;;;;;;;
chechen;Chechen;;;;;;;;;;;;;
north_caucasian;Caucasian Minor;;;;;;;;;;;;;
caucasian;Caucasian;;;;;;;;;;;;;
agul;Agul;;;;;;;;;;;;;
tabasaran;Tabasaran;;;;;;;;;;;;;
karachai;Karachay;;;;;;;;;;;;;
abkhaz;Abkhaz;;;;;;;;;;;;;
kabardine;Kabardin;;;;;;;;;;;;;
cherkess;Cherkess;;;;;;;;;;;;;
rutul;Rutul;;;;;;;;;;;;;
lezgin;Lezgin;;;;;;;;;;;;;
avar;Avar;;;;;;;;;;;;;
oirat;Oirat;;;;;;;;;;;;;
ingush;Ingush;;;;;;;;;;;;;
nogai;Nogai;;;;;;;;;;;;;
kumyk;Kumyk;;;;;;;;;;;;;
balkar;Balkar;;;;;;;;;;;;;
laz;Laz;;;;;;;;;;;;;
svan;Svan;;;;;;;;;;;;;
megrelian;Megrelian;;;;;;;;;;;;;
ragenian;Ragenian;;;;;;;;;;;;;
swazi;Swazi;;;;;;;;;;;;;
lurish;Luri;;;;;;;;;;;;;
mari;Mari;;;;;;;;;;;;;
mordvin;Mordvin;;;;;;;;;;;;;
chuvash;Chuvash;;;;;;;;;;;;;
veps;Vepsian;;;;;;;;;;;;;
udmurt;Udmurt;;;;;;;;;;;;;
komi;Komi;;;;;;;;;;;;;
gayo;Gayo;;;;;;;;;;;;;
andanamese;Andanamese;;;;;;;;;;;;;
hindi;Hindi;;;;;;;;;;;;;
urdu;Urdu;;;;;;;;;;;;;
han_chinese;Han;;;;;;;;;;;;;
lak;Lak;;;;;;;;;;;;;
sumatri;Sumatri;;;;;;;;;;;;;
acadian;Acadian;;;;;;;;;;;;;
mizrahi;Mizrahi;;;;;;;;;;;;;
mulatto;Mulatto;;;;;;;;;;;;;
afro_french;Afro Francais;;;;;;;;;;;;;
manx;Manx;;;;;;;;;;;;;
cornish;Cornish;;;;;;;;;;;;;
copt;Copt;;;;;;;;;;;;;
cossack;Cossack;;;;;;;;;;;;;
kashubian;Kashubian;;;;;;;;;;;;;
masurian;Masurian;;;;;;;;;;;;;
sorbian;Sorb;;;;;;;;;;;;;
formosan;Formosan;;;;;;;;;;;;;
mazanderani;Mazanderani;;;;;;;;;;;;;
talysh;Talysh;;;;;;;;;;;;;
beta_israeli;Beta Israeli;;;;;;;;;;;;;
qashqai;Qashqai;;;;;;;;;;;;;
afro_dutch;Afro-Dutch;;;;;;;;;;;;;
parsi;Parsi;;;;;;;;;;;;;
luri;Luri;;;;;;;;;;;;;
tabari;Tabari;;;;;;;;;;;;;
kalash;Kalash;;;;;;;;;;;;;
frisian;Frisian;;;;;;;;;;;;;
californian_people;Californian Indian;;;;;;;;;;;;;
cheyenne;Cheyenne;;;;;;;;;;;;;
comanche;Comanche;;;;;;;;;;;;;
dakota;Dakota;;;;;;;;;;;;;
great_basin_peoples;Great Basin Indian;;;;;;;;;;;;;
lakota;Lakota;;;;;;;;;;;;;
nakota;Nakota;;;;;;;;;;;;;
north_west_coastal;Northwest Coastal Indian;;;;;;;;;;;;;
osage;Osage;;;;;;;;;;;;;
pawnee;Pawnee;;;;;;;;;;;;;
plateau_peoples;Plateau Indian;;;;;;;;;;;;;
serer;Serer;;;;;;;;;;;;;
zarma;Zarma;;;;;;;;;;;;;
western_nigritic;Western Nigritic;;;;;;;;;;;;;
east_kwa;Kwa;;;;;;;;;;;;;
gur;Gur;;;;;;;;;;;;;
south_forest_bantu;Central Bantu;;;;;;;;;;;;;
forest_bantu;Northwest Bantu;;;;;;;;;;;;;
ubangian;Ubangi;;;;;;;;;;;;;
kavango;Kavango-Kimbundu;;;;;;;;;;;;;
southern_bantu;Southern Bantu;;;;;;;;;;;;;
yao;Yao-Makonde;;;;;;;;;;;;;
teda;Toubou;;;;;;;;;;;;;
sara;Sara-Baguirmi;;;;;;;;;;;;;
tiv;Bantoid;;;;;;;;;;;;;
baguirmi;Maban;;;;;;;;;;;;;
nyasa;Nyasa;;;;;;;;;;;;;
kilombero;Kilombero;;;;;;;;;;;;;
cushitic;Cushitic;;;;;;;;;;;;;
nilotic;Nilotic;;;;;;;;;;;;;
lacustrine_bantu;Northeast Bantu;;;;;;;;;;;;;
maasai;Kalenjin-Maasai;;;;;;;;;;;;;
kikuyu;Kikuyu-Kamba;;;;;;;;;;;;;
guajiro;Wayuu;;;;;;;;;;;;;
lendu;Lendu;;;;;;;;;;;;;
kingwana;Kingwana;;;;;;;;;;;;;
chokwe;Chokwe;;;;;;;;;;;;;
pied_noir;Pied-Noir;;;;;;;;;;;;;
swiss_german;Swiss-German;;;;;;;;;;;;;
swiss_french;Swiss-French;;;;;;;;;;;;;
swiss_italian;Swiss-Italian;;;;;;;;;;;;;
rhinelander;Rhenish;;;;;;;;;;;;;
neo_zelandais;Neo-Zelandais;;;;;;;;;;;;;
louisianan;Louisianan;;;;;;;;;;;;;
cajun;Cadien;;;;;;;;;;;;;
french_australian;Australien;;;;;;;;;;;;;
shinto;Shinbutsu;;;;;;;;;;;;;
sephardic;Sephardic;;;;;;;;;;;;;
khoisan;Bushmen;;;;;;;;;;;;;
boer;Afrikaner;;;;;;;;;;;;;
sotho;Basotho;;;;;;;;;;;;;
chilean;Chilean;;;;;;;;;;;;;
patagonian;Mapuche;;;;;;;;;;;;;
peruvian;Peruvian;;;;;;;;;;;;;
bolivian;Bolivian;;;;;;;;;;;;;
south_andean;Criollo;;;;;;;;;;;;;
gypsy;Romani;;;;;;;;;;;;;
lampung;Lampung;;;;;;;;;;;;;
tsakhur;Tsakhur;;;;;;;;;;;;;
