EVTNAME19356;A war to end all wars;;;;;;;;;;;;;x
ASSIMILATE_EFFECT;Assimilate all Pops in state\n;;;;;;;;;;;;;x
WORLD_WARS_ENABLE_DESC;Great wars can now become World wars;;;;;;;;;;;;;x
WORLD_WARS_ENABLED_DESC;World wars are enabled;;;;;;;;;;;;;x
WORLD_WARS_DISABLED_DESC;World wars are NOT enabled;;;;;;;;;;;;;x
SM_WINDOW;Window mode;;;;;;;;;;;;;x
SM_WINDOWED;Windowed;;;;;;;;;;;;;x
SM_FULLSCREEN;Fullscreen;;;;;;;;;;;;;x
SM_BORDERLESS;Borderless;;;;;;;;;;;;;x
IGNORE_DECISION_ON;This decision is set to NOT notify the player when it is available to be taken.\n\n§GClick to change notification status.§!;;;;;;;;;;;;;x
IGNORE_DECISION_OFF;This decision is set to notify the player when it is available to be taken.\n\n§GClick to change notification status.§!;;;;;;;;;;;;;x
SPLITINHALF;Split in Half;;;;;;;;;;;;;x
SPLITINHALF_DRO;Split in half will split the current unit into two roughly even-sized units and select the larger of the two units.;;;;;;;;;;;;;x
