PV_INTERNAL_IMMIGRATION;Internal Migration: ;Migration interne : ;Interne Migration: ;;;;;;;;;;;x
PV_EXTERNAL_IMMIGRATION;External Migration: ;Immigration : ;Externe Migration: ;;;;;;;;;;;x
COUNTRYALERT_CanRemoveFromSphere;We can remove nations from another nation's §YSphere of Influence§!:;Nous pouvons sortir des pays de notre §YSphere of Influence§ !;Wir können Nationen aus unserer §YEinflusssphäre§! entfernen:;;;;;;;;;;;x
PV_CLERGY_LIT_DESC1;$NUM$ of your population in $LOC$ are Clergy.;$NUM$ de votre population en $LOC$ sont ;$NUM$ unserer Bevölkerung in $LOC$ gehören dem Klerus an.;;;;;;;;;;;x
PV_CLERGY_LIT_DESC2;Optimal is $OPT$.;L'idéal serait $OPT$.;Optimal sind $OPT$.;;;;;;;;;;;x
PV_CLERGY_LIT_DESC3;Monthly change base value: $VAL$;Modification de base mensuelle : $VAL$;monatliche Grundveränderung: $VAL$;;;;;;;;;;;x
IN_SOCIAL_MOVEMENT;in social movement;en mouvement social;in einer sozialen Bewegung;;;;;;;;;;;x
NOT_IN_SOCIAL_MOVEMENT;not in social movement;pas en mouvement social;in keiner sozialen Bewegung;;;;;;;;;;;x
IN_POLITICAL_MOVEMENT;in political movement;en mouvement politique;in einer politischen Bewegung;;;;;;;;;;;x
NOT_IN_POLITICAL_MOVEMENT;not in political movement;pas en mouvement politique;in keiner politischen Bewegung;;;;;;;;;;;x
the_meiji_restoration2_title;Early Meiji Restoration;Première restauration Meiji;Frühe Meiji-Restauration;;;;;;;;;;;x
the_meiji_restoration2_desc;Japan is traditionally considered to have been founded by Emperor Jimmu in 660 B.C. and while the Imperial Lineage was still considered unbroken since then the Imperial Office had throughout the Edo period	 been reduced to a revered and respected but ultimately	 politically powerless institution. By embracing a restoration of Imperial Rule	 along with a program of swift industrial modernization constitutionalism and economic freedom Japan might be able to break the fetters placed upon her by the impositions of the Western World.;Selon la tradition, le Japon aurait été fondé par l'empereur Jimmu en 660 avant notre ère et alors que la lignée impériale aurait depuis été ininterrompue, le Bureau impérial n'était, pendant la période Edo, qu'une institution, certes respectée, mais privée de pouvoir politique. Moyennant le rétablissement du règne impérial, ainsi que la mise ne place d'un vaste program de modernisation industriel, de constitutionalisme et de liberté économique, le Japon devrait pouvoir rompre les fers que lui a imposé le monde occidental.;Die Gründung Japans wird üblicherweise dem Kaiser Jimmu im Jahr 660 v.Chr. zugeschrieben und obwohl die kaiserliche Abstammungslinie seitdem ununterbrochen ist	 wurde das Kaiseramt während der Edo-Zeit kontinuierlich zu einer verehrten und respektierten aber letztendlich machtlosen politischen Institution reduziert. Durch die Restauration der kaiserlichen Herrschaft im Einklang einem Programm für rasche industrielle Modernisierung	 Konstitutionalismus und Gewerbefreiheit könnte Japan die Fesseln sprengen	 die ihm von der westlichen Welt angelegt wurden.;;Tradicionalmente	 se considera que Japón fue fundado por el emperador Jimmu en el año 660 a. de.C. y	 aunque el linaje imperial se considera ininterrumpido desde entonces a lo largo del período Edo la función del Emperador fue reducida a una institución venerada y respetada pero carente de poder político. Al adoptar la restauración del gobierno imperial	 junto a un programa de rápida modernización industrial	 constitucionalismo y libertad económica	 Japón puede ser capaz de romper las cadenas de las imposiciones del mundo occidental.;;;;;;;;;x
TPG;Heavenly Kingdom;Royaume céleste;Himmlisches Königreich;;;;;;;;;;x
TPG_democracy;Taiping Republic;République de Taïwan;Taiping Republik;;;;;;;;;;;x
TPG_radical_republic;Taiping Republic;République de Taïwan;Taiping Republik;;;;;;;;;;;x
TPG_proletarian_dictatorship;Communist Taiping;Taïwan communiste;Kommunistisches Taiping;;;;;;;;;;;x
TPG_fascist_dictatorship;Taiping;Taïwan;Taiping;;;;;;;;;;;x
TPG_presidential_dictatorship;Taiping Clique;Clique taïwanaise;Taiping Clique;;;;;;;;;;;x
TPG_ADJ;Taiping;taïwanais;Taiping;;;;;;;;;;x
TPG_conservative;West King;Monarque occidental;Westlicher Monarch;;;;;;;;;;x
TPG_liberal;Yi King;Yi King;Yi Monarch;;;;;;;;;;x
TPG_reactionary;East King;Monarque oriental;Östlicher Monarch;;;;;;;;;;x
TPG_socialist;North King;Monarque du nord;Nördlicher Monarch;;;;;;;;;;x
TPG_anarcho_liberal;The Radical Faction;La faction radicale;Radikale Fraktion;;;;;;;;;;x
TPG_communist;The Communist Faction;La faction communiste;Kommunistische Fraktion;;;;;;;;;;x
TPG_fascist;The Fascist Faction;La faction fasciste;Faschistische Fraktion;;;;;;;;;;x
