Dummy_local_title;Dummy_local;;;;;;;;;;;;;x
Dummy_local_desc;If you see this something has gone VERY wrong!;;;;;;;;;;;;;x
Convert_SouthAfrica_title;Restructure the South African Territories;;;;;;;;;;;;;x
Convert_SouthAfrica_desc;We currently control territory in South Africa, We could use this influence to mold these lands in our image. This decision will change South Africa into a Dynamic Colony with $COUNTRY_ADJ$ cultural aspects.;;;;;;;;;;;;;x
reject_anticultural_southafrica_title;We Have Lost Out True Identity;;;;;;;;;;;;;x
reject_anticultural_southafrica_desc;We currently control territory in South Africa, We could use this influence to mold these lands in our image. This decision will release South Africa as a Dynamic Colony with $COUNTRY_ADJ$ cultural aspects.;;;;;;;;;;;;;x
intergrate_southafrica_lands_title;Dynamic Colonial Holding;;;;;;;;;;;;;x
intergrate_southafrica_lands_desc;We currently control territory which could be intergrated into our South African administration, should we entrust them with these. This decision will secede any of your South African holding to your South African puppet.;;;;;;;;;;;;;x
Convert_Fujian_title;Restructure the Fujian Territories;;;;;;;;;;;;;x
Convert_Fujian_desc;We currently control territory in Fujian, We could use this influence to mold these lands in our image. This decision will change Fujian into Dynamic Colony with $COUNTRY_ADJ$ cultural aspects.;;;;;;;;;;;;;x
reject_anticultural_Fujian_title;We Have Lost Out True Identity;;;;;;;;;;;;;x
reject_anticultural_Fujian_desc;We currently control territory in Fujian, We could use this influence to mold these lands in our image. This decision will release Fujian as a Dynamic Colony with $COUNTRY_ADJ$ cultural aspects.;;;;;;;;;;;;;x
#intergrate_Fujian_lands_title;Dynamic Colonial Holding;;;;;;;;;;;;;x
#intergrate_Fujian_lands_desc;We currently control territory which could be intergrated into our Fujian administration, should we entrust them with these. This decision will secede any of your Fujian holding to your Fujian Colony.;;;;;;;;;;;;;x
Convert_Texas_title;Restructure the Texan Territories;;;;;;;;;;;;;x
Convert_Texas_desc;We currently control territory in Texas, We could use this influence to mold these lands in our image. This decision will change Texas into a Dynamic Colony with $COUNTRY_ADJ$ cultural aspects.;;;;;;;;;;;;;x
reject_anticultural_texas_title;We Have Lost Out True Identity;;;;;;;;;;;;;x
reject_anticultural_texas_desc;We currently control territory in Texas, We could use this influence to mold these lands in our image. This decision will release Texas as a Dynamic Colony with $COUNTRY_ADJ$ cultural aspects.;;;;;;;;;;;;;x
intergrate_texas_lands_title;Dynamic Colonial Holding;;;;;;;;;;;;;x
intergrate_texas_lands_desc;We currently control territory which could be intergrated into our Texan administration, should we entrust them with these. This decision will secede any of your Texan holding to your Texan puppet.;;;;;;;;;;;;;x
Convert_Iceland_title;Restructure the Icelandic Territories;;;;;;;;;;;;;x
Convert_Iceland_desc;We currently control territory in Iceland, We could use this influence to mold these lands in our image. This decision will change Iceland into a Dynamic Colony with $COUNTRY_ADJ$ cultural aspects.;;;;;;;;;;;;;x
reject_anticultural_iceland_title;We Have Lost Out True Identity;;;;;;;;;;;;;x
reject_anticultural_iceland_desc;We currently control territory in Iceland, We could use this influence to mold these lands in our image. This decision will release Iceland as a Dynamic Colony with $COUNTRY_ADJ$ cultural aspects.;;;;;;;;;;;;;x
Convert_SriLanka_title;Restructure the Sri-Lankan Territories;;;;;;;;;;;;;x
Convert_SriLanka_desc;We currently control territory in Sri-Lanka, We could use this influence to mold these lands in our image. This decision will change Sri-Lanka into a Dynamic Colony with $COUNTRY_ADJ$ cultural aspects.;;;;;;;;;;;;;x
reject_anticultural_srilanka_title;We Have Lost Out True Identity;;;;;;;;;;;;;x
reject_anticultural_srilanka_desc;We currently control territory in Sri-Lanka, We could use this influence to mold these lands in our image. This decision will release Sri-Lanka as a Dynamic Colony with $COUNTRY_ADJ$ cultural aspects.;;;;;;;;;;;;;x
Convert_Canada_title;Restructure the Canadian Territories;;;;;;;;;;;;;x
Convert_Canada_desc;We currently control territory in Canada, We could use this influence to mold these lands in our image. This decision will change Canada into a Dynamic Colony with $COUNTRY_ADJ$ cultural aspects.;;;;;;;;;;;;;x
reject_anticultural_canada_title;We Have Lost Out True Identity;;;;;;;;;;;;;x
reject_anticultural_canada_desc;We currently control territory in Canada, We could use this influence to mold these lands in our image. This decision will release Canada as a Dynamic Colony with $COUNTRY_ADJ$ cultural aspects.;;;;;;;;;;;;;x
intergrate_canada_lands_title;Dynamic Colonial Holding;;;;;;;;;;;;;x
intergrate_canada_lands_desc;We currently control territory which could be intergrated into our Canadian administration, should we entrust them with these. This decision will secede any of your Canadian holding to your Canadian puppet.;;;;;;;;;;;;;x
Convert_Indochina_title;Restructure the Indochinese Territories;;;;;;;;;;;;;x
Convert_Indochina_desc;We currently control territory in Indochina, We could use this influence to mold these lands in our image. This decision will change Indochina into a Dynamic Colony with $COUNTRY_ADJ$ cultural aspects.;;;;;;;;;;;;;x
reject_anticultural_indochina_title;We Have Lost Out True Identity;;;;;;;;;;;;;x
reject_anticultural_indochina_desc;We currently control territory in Indochina, We could use this influence to mold these lands in our image. This decision will release Indochina as a Dynamic Colony with $COUNTRY_ADJ$ cultural aspects.;;;;;;;;;;;;;x
intergrate_indochina_lands_title;Dynamic Colonial Holding;;;;;;;;;;;;;x
intergrate_indochina_lands_desc;We currently control territory which could be intergrated into our Indochinese administration, should we entrust them with these. This decision will secede any of your Indochinese holding to your Indochinese puppet.;;;;;;;;;;;;;x
Convert_Australia_title;Restructure the Australian Territories;;;;;;;;;;;;;x
Convert_Australia_desc;We currently control territory in Australia, We could use this influence to mold these lands in our image. This decision will change Ausrtalia into a Dynamic Colony with $COUNTRY_ADJ$ cultural aspects.;;;;;;;;;;;;;x
reject_anticultural_australia_title;We Have Lost Out True Identity;;;;;;;;;;;;;x
reject_anticultural_australia_desc;We currently control territory in Australia, We could use this influence to mold these lands in our image. This decision will release Australia as a Dynamic Colony with $COUNTRY_ADJ$ cultural aspects.;;;;;;;;;;;;;x
intergrate_australia_lands_title;Dynamic Colonial Holding;;;;;;;;;;;;;x
intergrate_australia_lands_desc;We currently control territory which could be intergrated into our Australian administration, should we entrust them with these. This decision will secede any of your Australian holding to your Australian puppet.;;;;;;;;;;;;;x
Convert_NewZealand_title;Restructure the New Zealand Territories;;;;;;;;;;;;;x
Convert_NewZealand_desc;We currently control territory in New Zealand, We could use this influence to mold these lands in our image. This decision will change New Zealand into a Dynamic Colony with $COUNTRY_ADJ$ cultural aspects.;;;;;;;;;;;;;x
reject_anticultural_newzealand_title;We Have Lost Out True Identity;;;;;;;;;;;;;x
reject_anticultural_newzealand_desc;We currently control territory in New Zealand, We could use this influence to mold these lands in our image. This decision will release New Zealand as a Dynamic Colony with $COUNTRY_ADJ$ cultural aspects.;;;;;;;;;;;;;x
intergrate_newzealand_lands_title;Dynamic Colonial Holding;;;;;;;;;;;;;x
intergrate_newzealand_lands_desc;We currently control territory which could be intergrated into our New Zealand administration, should we entrust them with these. This decision will secede any of your New Zealand holding to your New Zealand puppet.;;;;;;;;;;;;;x
Convert_California_title;Restructure the Californian Territories;;;;;;;;;;;;;x
Convert_California_desc;We currently control territory in California, We could use this influence to mold these lands in our image. This decision will change California into a Dynamic Colony with $COUNTRY_ADJ$ cultural aspects.;;;;;;;;;;;;;x
reject_anticultural_california_title;We Have Lost Out True Identity;;;;;;;;;;;;;x
reject_anticultural_california_desc;We currently control territory in California, We could use this influence to mold these lands in our image. This decision will release California as a Dynamic Colony with $COUNTRY_ADJ$ cultural aspects.;;;;;;;;;;;;;x
intergrate_california_lands_title;Dynamic Colonial Holding;;;;;;;;;;;;;x
intergrate_california_lands_desc;We currently control territory which could be intergrated into our Californian administration, should we entrust them with these. This decision will secede any of your Californian holding to your California puppet.;;;;;;;;;;;;;x
Convert_Korea_title;Restructure the Korean Territories;;;;;;;;;;;;;x
Convert_Korea_desc;We currently control territory in Korea, We could use this influence to mold these lands in our image. This decision will change Korea into a Dynamic Colony with $COUNTRY_ADJ$ cultural aspects.;;;;;;;;;;;;;x
reject_anticultural_korea_title;We Have Lost Out True Identity;;;;;;;;;;;;;x
reject_anticultural_korea_desc;We currently control territory in Korea, We could use this influence to mold these lands in our image. This decision will release Korea as a Dynamic Colony with $COUNTRY_ADJ$ cultural aspects.;;;;;;;;;;;;;x
intergrate_korea_lands_title;Dynamic Colonial Holding;;;;;;;;;;;;;x
intergrate_korea_lands_desc;We currently control territory which could be intergrated into our Korean administration, should we entrust them with these. This decision will secede any of your Korean holding to your Korean puppet.;;;;;;;;;;;;;x
Convert_NewEngland_title;Restructure the New England Territories;;;;;;;;;;;;;x
Convert_NewEngland_desc;We currently control territory in New England, We could use this influence to mold these lands in our image. This decision will change New England into a Dynamic Colony with $COUNTRY_ADJ$ cultural aspects.;;;;;;;;;;;;;x
reject_anticultural_newengland_title;We Have Lost Out True Identity;;;;;;;;;;;;;x
reject_anticultural_newengland_desc;We currently control territory in New England, We could use this influence to mold these lands in our image. This decision will release New England as a Dynamic Colony with $COUNTRY_ADJ$ cultural aspects.;;;;;;;;;;;;;x
