#;;;;;;;;;;;;;;x,,,
ANY_ALL;Any province;;;;;;;;;;;;;x,,,
HAS_NOT_GOODS;does not produce ;;;;;;;;;;;;;x,,,
HAS_GOODS;produces ;;;;;;;;;;;;;x,,,
assyrian;Assyrian;;;;;;;;;;;;;x,,,
xhosa;Xhosa;;;;;;;;;;;;;x,,,
shinto;Shinbutsu;;;;;;;;;;;;;x,,,
sephardic;Sephardic;;;;;;;;;;;;x,,,
picard;Picard;;;;;;;;;;;;x,,,
western_slavic;Western Slavic;;;;;;;;;;;;x,,,
anglo_african;Anglo African;;;;;;;;;;;;x,,,
jewish_cultures;Jewish;;;;;;;;;;;;x,,,
itsekari;Ijaw;;;;;;;;;;;;x,,,
kuba;Bashong;;;;;;;;;;;;x,,,
far_east_asian;Far East Asian;;;;;;;;;;;;x,,,
arabic;Arabic;;;;;;;;;;;;x,,,
pan_albanian;Albanian;;;;;;;;;;;;x,,,
nv_enlightenment;Enlightenment;;;;;;;;;;;;;x,,,
nv_tradition;Tradition;;;;;;;;;;;;;x,,,
nv_progress;Progress;;;;;;;;;;;;;x,,,
nv_loyalty;Loyalty;;;;;;;;;;;;;x,,,
nv_independence;Independence;;;;;;;;;;;;;x,,,
nv_might;Might;;;;;;;;;;;;;x,,,
nv_unity;Unity;;;;;;;;;;;;;x,,,
nv_fraternity;Fraternity;;;;;;;;;;;;;x,,,
nv_prosperity;Prosperity;;;;;;;;;;;;;x,,,
nv_freedom;Freedom;;;;;;;;;;;;;x,,,
nv_glory;Glory;;;;;;;;;;;;;x,,,
nv_supremacy;Supremacy;;;;;;;;;;;;;x,,,
nv_dominion;Dominion;;;;;;;;;;;;;x,,,
nv_productivity;Productivity;;;;;;;;;;;;;x,,,
nv_enlightenment_modifier;National Value - Enlightenment;;;;;;;;;;;;;x,,,
nv_tradition_modifier;National Value - Tradition;;;;;;;;;;;;;x,,,
nv_progress_modifier;National Value - Progress;;;;;;;;;;;;;x,,,
nv_loyalty_modifier;National Value - Loyalty;;;;;;;;;;;;;x,,,
nv_independence_modifier;National Value - Independence;;;;;;;;;;;;;x,,,
nv_might_modifier;National Value - Might;;;;;;;;;;;;;x,,,
nv_unity_modifier;National Value - Unity;;;;;;;;;;;;;x,,,
nv_fraternity_modifier;National Value - Fraternity;;;;;;;;;;;;;x,,,
nv_prosperity_modifier;National Value - Prosperity;;;;;;;;;;;;;x,,,
nv_freedom_modifier;National Value - Freedom;;;;;;;;;;;;;x,,,
nv_glory_modifier;National Value - Glory;;;;;;;;;;;;;x,,,
nv_supremacy_modifier;National Value - Supremacy;;;;;;;;;;;;;x,,,
nv_dominion_modifier;National Value - Dominion;;;;;;;;;;;;;x,,,
nv_productivity_modifier;National Value - Productivity;;;;;;;;;;;;;x,,,
nv_order_modifier;National Value - Order;;;;;;;;;;;;;x,,,
nv_equality_modifier;National Value - Equality;;;;;;;;;;;;;x,,,
nv_liberty_modifier;National Value - Liberty;;;;;;;;;;;;;x,,,
switch_to_enlightenment_title;Embrace the Ideal of Enlightenment;;;;;;;;;;;;;x,,,
switch_to_enlightenment_desc;The time has come for our people to stop clinging to ancient tradition. We must look to the nations of the west, and embrace their technology, if we are to retain our independence and our place in the world.;;;;;;;;;;;;;x,
switch_to_tradition_title;Embrace the Ideal of Tradition;;;;;;;;;;;;;x,,,
switch_to_tradition_desc;For too long have we looked to the nations of the west. We reject their ways and their superiority, for our are now and always have been best for us.;;;;;;;;;;;;;x,,
switch_to_progress_title;Embrace the Ideal of Progress;;;;;;;;;;;;;x,,,
switch_to_progress_desc;Our march towards civilization and matching any imperial nation with our ingenuity continues. We shall not be left behind!;;;;;;;;;;;;;x,,,
switch_to_independence_title;Embrace the Ideal of Independence;;;;;;;;;;;;;x,,,
switch_to_independence_desc;We will not allow our nation to be overrun by the western imperialists. We are strong, united, and shall remain such. Against all odds, our nation shall endure.;;;;;;;;;;;;;x
switch_to_loyalty_title;Embrace the Ideal of Loyalty;;;;;;;;;;;;;x,,,
switch_to_loyalty_desc;Every citizen in our nation exists to serve, towards the greater good. It is only by acting in unison that we can hope to preserve our nation in the perilous times to come.;;;;;;;;;;;;;x,,
switch_to_unity_equality_title;Embrace the Ideal of Unity;;;;;;;;;;;;;x,,,
