TAG_social_liberal;Social Liberal Party;;;;;;;;;;;;x,,
disable_state_election_events_title;Disable State Election Events;;;;;;;;;;;;x,,
disable_state_election_events_desc;Tired of the event spree during an election? Click here to toggle them off! (Note: Country-wide election events will remain active);;;;;;;;;;;;x,,
enable_state_election_events_title;Enable State Election Events;;;;;;;;;;;;x,,
enable_state_election_events_desc;Want the usual state-wide election events back? Click here to toggle them on!;;;;;;;;;;;;x,,
disable_rgo_change_events_title;Disable RGO Change Events;;;;;;;;;;;;x,,
disable_rgo_change_events_desc;Tired of your farmers asking you for the 42nd time to intensify farming procedures? You don't want to change your grain provinces into wool? (Note: Colonial Farming events will remain active);;;;;;;;;;;;x,,
enable_rgo_change_events_title;Enable RGO Change Events;;;;;;;;;;;;x,,
enable_rgo_change_events_desc;Want to have the chance to change your RGO goods again? Click here to toggle the events on!;;;;;;;;;;;;x,,
growth_focus;Encourage Population Growth (GLOBAL EFFECT!);;;;;;;;;;;;x,,
progress_focus;Encourage Progress;;;;;;;;;;;;x,,
order_focus;Encourage Order;;;;;;;;;;;;x,,
education_focus;Encourage Education (GLOBAL EFFECT!);;;;;;;;;;;;x,,
the_metro;The Metro (+);;;;;;;;;;;;x,,
the_metro_desc;Rapid transit began with the opening in 1863 of the Metropolitan Railway, now part of the London Underground. Rapid transit evolved from steam railways during the late 19th century. In 1890 the City & South London Railway in London was the first electric rapid transit railway. The electric railway eventually was merged into London Underground. The technology swiftly spread to other cities in Europe, as in Budapest, Hungary in 1896, and then to the United States. A number of elevated systems were built, starting with the 1893 100% designed electric Liverpool Overhead Railway, which also had a small underground section complete with station. The elevated railways in Chicago and New York were converted to electric from steam propulsion.;;;;;;;;;;;;x,,
skyscrapers;Skyscraper Architecture;;;;;;;;;;;;x,,
