;;;;;;;;;;;;x,,,,
state_of_emergency_modifier;State of Emergency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
state_of_emergency_modifier_desc;State of Emergency or State of Exception means that the government can suspend and/or change some functions of the executive, the legislative and/or the judiciary during this period of time. It alerts citizens to change their normal behavior and orders government agencies to implement emergency plans. A government can declare a state of emergency during a time of natural or human-made disaster, during a period of civil unrest, or following a declaration of war or situation of international/internal armed conflict.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
ANY_ALL;Any province;;;;;;;;;;;;;x,,,,
HAS_NOT_GOODS;produces ;;;;;;;;;;;;;x,,,,
IS_IN_REGION; is in the region ;Est dans la région;Ist in der Region ;;Está en la región;;;;;;;;;x,,,,
TRIGMOD_HEADER;The $MONARCHTITLE$ reports that;$head_of_government$ rapporte que;$head_of_government$ berichtet, dass;Kiedy modyfikator zwi¹zany z okreœlonym wydarzeniem wp³ywa na twoje pañstwo (np. c³o narzucone przez pañstwo trzecie);$head_of_government$ informa de;Quando subisci l'influenza di un modificatore condizionato (ad es. il Pedaggio sullo Stretto);Mikor valami esemény módosulása van rád hatással (korábbi hang-vám);Když jste subjektem trojnásobného modifikátoru;;;;;;x,,,
TRIGMODLOST_HEADER;The $MONARCHTITLE$ reports that;$head_of_government$ rapporte que;$head_of_government$ berichtet, dass;Kiedy modyfikator zwi¹zany z okreœlonym wydarzeniem przestaje oddzia³ywaæ na twoje pañstwo (np. c³o narzucone przez pañstwo trzecie);$head_of_government$ informa de;Quando l'effetto di un modificatore condizionato (ad es. il Pedaggio sullo Stretto) cessa;Mikor egy módosítást okozó esemény befejezõdik (korábbi hang-vám);Když jste subjektem trojnásobného modifikátoru.;;;;;;x,,,
TRIGGER_CIV_PROGRESS_LESS;Civilization progress: §Y50§W%;;;;;;;;;;;;x,,,,
had_liberal_revolution;Liberal Revolution has ended;;;;;;;;;;;;x,,,,
attending_berlin_congress;Attending the Congress;;;;;;;;;;;;x,,,,
oriental_crisis_support_OE;Supports the Ottomans;;;;;;;;;;;;x,,,,
oriental_crisis_support_Egypt;Supports the Egyptians;;;;;;;;;;;;x,,,,
MAJORITY_IS_NOT;Majority of the population is not ;;;;;;;;;;;;x,,,,
crimean_surrender;the Ottomans have surrendered;;;;;;;;;;;;x,,,,
colonial_chaos;Colonial Chaos;;;;;;;;;;;;x,,,,
colonial_chaos_desc;Our colony is in chaos, and we are in danger of losing it utterly if order is not restored soon!;;;;;;;;;;;;x,,,
loss_of_control;Loss of Control;;;;;;;;;;;;x,,,,
loss_of_control_desc;We have lost control over the colony.;;;;;;;;;;;;x,,,,
nationalist_agitation;Nationalist Agitation;;;;;;;;;;;;x,,,,
nationalist_agitation_desc;Nationalists are active in the province, stirring up trouble with random acts of violence. If left unchecked, they may rise in rebellion against us.;;;;;;;;;;;;x,,
patriot_uprising;Patriot Uprising;;;;;;;;;;;;x,,,,
patriot_uprising_desc;Foreign patriots have taken control of the province.;;;;;;;;;;;;x,,,,
the_ikhwan;The Ikhwan;;;;;;;;;;;;;x,,,,
the_ikhwan_desc;An alliance has been made with the Bedouin Wahhabists. Islam shall remain pure in our nation, in exchange for their military support.;;;;;;;;;;;;;x,,,
mandate;Mandate of Heaven;;;;;;;;;;;;x,,,,
holy_city;The Holy City;;;;;;;;;;;;x,,,,
holy_city_desc;Mecca is the center of all Islam. To hold it is to stand above all others, and prove to them that the fate of all Islam lies in our hands.;;;;;;;;;;;;x,,,
self_strengthening_movement;Self-Strengthening Movement;;;;;;;;;;;;;x,,,,
drive_to_reunify;Reunification Drive;;;;;;;;;;;;x,,,,
drive_to_reunify_desc;We must reunite the country, at any cost!;;;;;;;;;;;;x,,,
taiping_draft;Emergency Draft;;;;;;;;;;;;x,,,,
the_female_shortage;The Female Shortage;;;;;;;;;;;;x,,,,
the_female_shortage_desc;A populational deficit means that there are more men than women in China, slowing down population growth and upsetting the mass of single males that will never form a family.;;;;;;;;;;;;;;;;x,,,
christian_pamphlets;Christian Pamphlets;;;;;;;;;;;;x,,,,
chinese_floods;Chinese Floods;;;;;;;;;;;;x,,,,
small_country_draft;Emergency Draft;;;;;;;;;;;;x,,,,
