#theocracy;Theocracy;;;;;;;;;;;;;x;;;;;;;;;;;;;;
#theocracy_ruler;Pope;;;;;;;;;;;;;x;;;;;;;;;;;;;;
PAP_theocracy;Papal State;;;;;;;;;;;;x;;;;;;;;;;;;;;
PAP_theocracy_ADJ;Papal;;;;;;;;;;;;;x;;;;;;;
PAP_proletarian_dictatorship;Peoples Republic of Rome;;;;;;;;;;;;;x;;;;;;;;;;;;;;
PAP_proletarian_dictatorship_ADJ;Roman;;;;;;;;;;;;;x;;;;;;;;;;;;;;
PAP_presidential_dictatorship;Republic of Rome;;;;;;;;;;;;;x;;;;;;;;;;;;;;
PAP_presidential_dictatorship_ADJ;Roman;;;;;;;;;;;;;x;;;;;;
PAP_bourgeois_dictatorship;Republic of Rome;;;;;;;;;;;;;x;;;;;;;;;;;;;
PAP_bourgeois_dictatorship_ADJ;Roman;;;;;;;;;;;;;x;;;;;;
PAP_fascist_dictatorship;State of Rome;;;;;;;;;;;;;x;;;;;;;;;;;;;;
PAP_fascist_dictatorship_ADJ;Roman;;;;;;;;;;;;;x;;;;;;
PAP_democracy;Republic of Rome;;;;;;;;;;;;;x;;;;;;;;;;;;;;
PAP_democracy_ADJ;Roman;;;;;;;;;;;;;x;;;;;;
PAP_absolute_monarchy;Roman Empire;;;;;;;;;;;;;x;;;;;;;;;;;;;;
PAP_absolute_monarchy_ADJ;Roman;;;;;;;;;;;;;x;;;;;;;;;;;;;;
PAP_prussian_constitutionalism;Kingdom of Rome;;;;;;;;;;;;;x;;;;;;;;;;;;;;
PAP_prussian_constitutionalism_ADJ;Roman;;;;;;;;;;;;;x;;;;;;;;;;;;;;
PAP_hms_government;Kingdom of Rome;;;;;;;;;;;;;x;;;;;;;;;;;;;;
PAP_hms_government_ADJ;Roman;;;;;;;;;;;;;x;;;;;;;;;;;;;;
