;;;;;;;;;;;;x,,,,,,,,,,,,,
return_core_on_title;Enable 'Return Cores' decisions;;;;;;;;;;;;x,,
return_core_on_desc;The Return Cores decisions allow you to return cores of vassals and spherelings, as long as you don't have a core in the province, and are otherwise kept hidden from view to avoid having them clutter up your decision list.;;;;;;;;;;;;x
return_core_off_title;Disable 'Return Cores' decisions;;;;;;;;;;;;x,,
return_core_off_desc;Your decision list will now be uncluttered.;;;;;;;;;;;;x,,
return_core_disabled_title;Deactivate 'Return Cores' decisions;;;;;;;;;;;;x,,
return_core_disabled_desc;The 'Return Cores' decisions will disappear from this game session and won't reappear again. You won't be able to use these decisions again for this game.;;;;;;;;;;;;x,,
return_cores_MNP_title;Return cores to Manipur;;;;;;;;;;;;;;;;;;;;x,,
return_cores_MNP_desc;We hold provinces that Manipur has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BDK_title;Return cores to Badakhshan;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BDK_desc;We hold provinces that Badakhshan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_PGG_title;Return cores to Pingnan Guo;;;;;;;;;;;;;;;;;;;;x,,
return_cores_PGG_desc;We hold provinces that Pingnan Guo has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_SGM_title;Return cores to Sigmaringen;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SGM_desc;We hold provinces that Sigmaringen has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_NMB_title;Return cores to Namibia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_NMB_desc;We hold provinces that Namibia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_TMR_title;Return cores to Timor;;;;;;;;;;;;;;;;;;;;x,,
return_cores_TMR_desc;We hold provinces that Timor has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_SLG_title;Return cores to Selangor;;;;;;;;;;;;;;;;;;;;x,,
return_cores_SLG_desc;We hold provinces that Selangor has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_PRK_title;Return cores to Perak;;;;;;;;;;;;;;;;;;;;x,,
return_cores_PRK_desc;We hold provinces that Perak has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_PHG_title;Return cores to Pahang;;;;;;;;;;;;;;;;;;;;x,,
return_cores_PHG_desc;We hold provinces that Pahang has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_FRO_title;Return cores to Faroe;;;;;;;;;;;;;;;;;;;;x,,
return_cores_FRO_desc;We hold provinces that Faroe has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_NCT_title;Return cores to Neuchatel;;;;;;;;;;;;;;;;;;;;x,,
return_cores_NCT_desc;We hold provinces that Neuchatel has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_HBY_title;Return cores to Hobyo;;;;;;;;;;;;;;;;;;;;x,,
return_cores_HBY_desc;We hold provinces that Hobyo has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_QAT_title;Return cores to Qatar;;;;;;;;;;;;;;;;;;;;x,,
return_cores_QAT_desc;We hold provinces that Qatar has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BRY_title;Return cores to Buryatia;;;;;;;;;;;;;;;;;;;;x,,
return_cores_BRY_desc;We hold provinces that Buryatia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_MLD_title;Return cores to Maldives;;;;;;;;;;;;;;;;;;;;x,,
return_cores_MLD_desc;We hold provinces that Maldives has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_KAR_title;Return cores to Karen;;;;;;;;;;;;;;;;;;;;x,,
return_cores_KAR_desc;We hold provinces that Karen has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_PAK_title;Return cores to Pakistan;;;;;;;;;;;;;;;;;;;;x,,
return_cores_PAK_desc;We hold provinces that Pakistan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_CRL_title;Return cores to Chitral;;;;;;;;;;;;;;;;;;;;x,,
