;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
IS_IN_REGION; is in the region ;Est dans la région;Ist in der Region ;;Está en la región;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
tozama_daimyo;Tozama Daimyo;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
fudai_daimyo;Fudai Daimyo;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
emperor_meiji;Emperor Meiji;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
supports_imperial_edict;Supports the Imperial edict against foreigners;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
angered_by_bakufu;Angered by the bakufu;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
sakoku;Sakoku;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
sakoku_desc;Meaning 'locked country',this is the policy under which no foreigner could enter Japan under pain of death. Maintained by the Tokugawa shogunate, it has kept the nation in enforced isolation since the 17th century.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
rangaku;Rangaku;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
rangaku_desc;Meaning 'dutch learning',this refers to the body of knowledge developed by Japan through its contacts with the Dutch enclave of Dejima, which allowed Japan to keep abreast of Western technology and medicine in the period when the country was closed to foreigners.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
ansei_purge;Ansei Purge;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
kobu_gattai;Kobu Gattai;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
kobu_gattai_desc;This was a policy of the Tokugawa shogunate aiming at increasing political coordination between the bakufu and the Imperial Court, as well as appeasing opponents within the shogunate itself.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
fukoku_kyohei;Fukoku Kyohei;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME185;$COUNTRY_ADJ$ Prohibition?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC185;The $COUNTRY_ADJ$ Temperance League has been increasingly active in one of our states this year, with a campaign to harass local public houses and liquor merchants. Many of their more politically-minded members have even approached members of the government in $CAPITAL$, pushing for greater support for their campaign.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME186;$COUNTRY_ADJ$ Libertines;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC186;The libertine culture in $COUNTRY$ has drawn criticism, with news of a scandal that reaches to the very heights of government. Several ministers are accused of unsavory dealings, and there are calls in $CAPITAL$ for the government to support religious groups in their calls for moderation and temperance.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME2600;$STATENAME$ Integration;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC2600;$COUNTRY$ has maintained control over $STATENAME$ for us to consider the possibility of integrating it into $COUNTRY$ as a whole. There are $COUNTRY_ADJ$ flags waving in $PROVINCENAME$, flown by $COUNTRY_ADJ$ citizens, so it does not seem so far-fetched an idea that $STATENAME$ be eventually considered $COUNTRY_ADJ$ territory by the world at large.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME2605;$PROVINCENAME$ Integrated into $COUNTRY$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC2605;$COUNTRY$ has controlled $PROVINCENAME$ for a long time-- long enough for those within $PROVINCENAME$ to truly consider themselves $COUNTRY_ADJ$ citizens, and for the rest of the world to consider the $COUNTRY_ADJ$ claim to the province to be legitimate as well. Though there are still some unhappy with the development, $PROVINCENAME$ is now considered an integral part of $COUNTRY$.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME2610;$STATENAME$ Assimilation;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC2610;$STATENAME$ is considered $COUNTRY_ADJ$ territory-- that is only in dispute by those neighbours who still have recognized claims on the area, and who maintain that many within $STATENAME$ consider themselves citizens of their country and not ours. The first step in rendering their claim invalid would be to enact a policy that encourages the assimilation of all people within $STATENAME$... they should be $COUNTRY_ADJ$ citizens, and hold no other nationality above ours.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME2611;Assimilation Policies Rescinded;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC2611;With the new government in power and its more liberal views on minorities within $COUNTRY$, the policies of assimilation that attempted to stamp out minorities of other nationalities have all been rescinded. There are those within the $COUNTRY_ADJ$ military who warn that this is a dangerous idea, and that allowing these foreign identities to perpetuate will only lead to further conflict with our neighbours-- but, for now, their voices have been ignored.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME2615;Flags Burned in $PROVINCENAME$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC2615;A demonstration in $PROVINCENAME$ turned violent as minorities held up $COUNTRY_ADJ$ flags and burned them-- a demonstration of their rejection of our attempts to assimilate them into $COUNTRY$. Authorities broke up the demonstration, but there continues to be a growing discontent in the area. The turmoil has even spread to other citizens, who have begun calling on the $COUNTRY_ADJ$ government to end its assimilation policies and let the minority groups be.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME2616;Incident in $PROVINCENAME$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC2616;The recent arrest of a foreign national in $PROVINCENAME$ has led to a diplomatic incident. Many of the minorities within $PROVINCENAME$ claim that the man was arrested solely because he opposed the $COUNTRY_ADJ$ assimilation policies, and was trying to spread word of a peaceful resistance. The $COUNTRY_ADJ$ authorities say the man's interest was not peaceful in the least, and they suspect he in fact works for one of our neighbours with a claim on $PROVINCENAME$. Whatever the truth, the reaction has not been peaceful in the least-- riots are expected, and authorities say to be wary of rebellion in the area.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME2620;Flags Flying in $PROVINCENAME$!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC2620;A parade has recently taken place in $PROVINCENAME$, with the $COUNTRY_ADJ$ flag flying high-- and being held by people who, until very recently, likely wouldn't have considered themselves $COUNTRY_ADJ$ citizens at all. $PROVINCENAME$ is still claimed by another country, but the acceptance of $PROVINCENAME$'s people is going a long way towards making elimination of that an inevitable fact.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME2625;$PROVINCENAME$ Assimilated!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC2625;The $COUNTRY_ADJ$ flag is the only one that can now be found flying in the streets of $PROVINCENAME$. At long last, it can be considered $COUNTRY_ADJ$ and only $COUNTRY_ADJ$ territory. Even those who are members of other cultures no longer consider themselves truly part of our neighbours-- much as those neighbours might be unhappy with the situation.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME2626;Claims in $FROMCOUNTRY$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC2626;$FROMCOUNTRY$ continues to hold some of our lands, lands which until today have always been considered part of $COUNTRY_ADJ$ national territory. A $FROMCOUNTRY_ADJ$ program of assimilation has succeeded, however, in weaning our own people away from any feeling as if this true. They no longer consider themselves $COUNTRY_ADJ$, and indeed the international community appears to agree with them.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME2650;$FROMCOUNTRY_ADJ$ Lands;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC2650;According to our peace treaty with $FROMCOUNTRY$, we must give up lands that rightfully belong to them-- and only the ones that belong to them.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME2651;The $FROMCOUNTRY_ADJ$ Demand;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC2651;According to our peace treaty with $FROMCOUNTRY$, we must give up lands that rightfully belong to another nation-- but only those lands.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME2660;Our Lands Returned;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC2660;As a result of the treaty with $FROMCOUNTRY$, some of $COUNTRY$'s lands are to be returned. We are, however, only entitled to those lands over which we have a claim. Any others should, by all rights, be returned to $FROMCOUNTRY$.\n\n§RNOTE: If you took $FROMCOUNTRY_ADJ$ core provinces which are not also your own core provinces in this war, enacting the 'return' option will give those lands back. Be careful!§W;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
EVTDESC10100_NEW;Phytophthora infestans, the dreaded potato blight, has struck one of our farming provinces. Starving smallholders, and in some places driving whole families from their homes, the potato blight has caused a localized famine that threatens to spread.;;Phytophthora infestans, die gefürchtete Kartoffelfäule, ist in $PROVINCENAME$ ausgebrochen. Die Krankheit bringt lokale Kleinbauern ans Hungertuch, treibt an manchen Orten ganze Familien aus ihren Heimen, und hat generell vor Ort eine Hungersnot ausgelöst, die sich auszubreiten droht. Im Parlament wie auch vor Ort treten die Liberalen vor, klagen unsere Regierung an, die Hungerhilfe ungeschickt anzugehen, und behaupten, dass vielleicht nicht die Knollenfäule selbst, sondern unsere Politik, die zu Nahrungsmangel geführt hat, an der Krise schuld ist.;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,
EVTNAME10120_NEW;$COUNTRY_ADJ$ Herald;La Tribune de $COUNTRY_ADJ$;Der $COUNTRY_ADJ$ Herald;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10120_NEW;A new daily has begun circulating in $COUNTRY$. The $COUNTRY_ADJ$ Herald, carrying hard-hitting political commentary, literary critique and local news, has quickly developed into a flagship for local liberal politics.;;Eine neue Tageszeitung ist in $COUNTRY$ erschienen. Mit beißenden politischen Kommentaren, Literaturkritik und Lokalnachrichten ist der $COUNTRY_ADJ$ Herald schnell zu einem Flaggschiff für liberale Lokalpolitik geworden.;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,
EVTDESC10130_NEW;A local chapter of the Chartist Society, calling for a broadening of the voting franchise, and an end to landed voting rights, has opened in $COUNTRY$.;Une branche locale de la Société chartiste, appelant à un élargissement du droit de vote et à la fin du système électoral censitaire est apparue en $COUNTRY$.;Ein lokaler Zweig der Chartistengesellschaft ist in $COUNTRY$ aktiv geworden und ruft nach größeren Wahlrechten und einem Ende der landbesitzgebundenen Wahlrechts.;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,
EVTDESC10140_NEW;Liberal causes have started to gain traction in $COUNTRY$. While no one knows for sure, rumor has it that the root cause of this sudden upswing in liberal propaganda efforts is the recent foundation of a secret society, forced into hiding due to the persecution of any legitimate opposition to the ruling party. Whether it be the Rosecrucians or the Illuminati, these society members will continue to act from the shadows until $COUNTRY$ allows free debate and opposition in its politics.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC10150_NEW;The smog from the factories hangs low against the blood red of a charcoal sky. Far away in the depths of the city, in the deepest bowels of the industrial machine, the cries and shouts of a forming mob can be heard echoing against a backdrop of drainpipes and smokestacks. Infuriated over poor working conditions, clamoring for a return to a lost pastoral dream remembered, Luddites take to the streets in $COUNTRY$.;;Der kohlschwarze Qualm der Fabriken hängt tief gegen den blutroten Himmel. Tief im Herzen der Stadt, in den untersten Kellern der Industriemaschine, kann man die Schreie und Rufes des sich bildenden Mobs im Echo gegen den Hintergrund von Kühlröhren und Schornsteinen hören. Erzürnt über schlechte Arbeitsbedingungen ziehen die Ludditen auf die Straße in $COUNTRY$ und verlangen die Wiederkehr eines ländlichen Traums.;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
EVTDESC10160_NEW;Immorality is like water, flowing through every concievable crack in the dams of legal authority. Liberals in $COUNTRY$ have, on account of the ban on public meetings, begun holding banquets. Ostentsibly without purpose -- A gathering among friends, a celebration, a feast -- the common knowledge secret that no one dare pronounce is that these banquets are political meetings carried out behind a thin veneer of legality.;;Sittenlosigkeit ist wie Wasser - sie fließt durch jeden Riss in den Dämmen der Gesetzesautorität. Die Liberalen in $COUNTRY$ haben wegen des Verbots öffentlicher Versammlungen begonnen, Bankette abzuhalten. Nach außen völlig absichtslos -- ein Treffen von Freunden, eine Feier, ein Fest -- doch ist jedem klar, was er nicht auszusprechen wagt: dass diese Bankette politische Treffen sind, die sich hinter einem sehr dünnen Anstrich der Legalität verstrecken.;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,,,
EVTDESC10170_NEW;Like rats carrying contagious diseases, the preachers of modernity move effortlessly back and forth across our borders. Liberal agitation has spread to $PROVINCENAME$ from a neighboring province and is now threatening to enflame the entire state. We might want to send some troops here.;Comme des rats porteurs de maladies contagieuses, les prédicateurs modernes vont et viennent facilement de part et d'autres de nos frontières. L'agitation libérale s'étend à $PROVINCENAME$ depuis une province voisine.;Wie Ratten mit ansteckenden Krankheiten bewegen sich die Prediger der Modernität mühelos über unsere Grenzen hinweg. Liberale Agitation ist aus einer Nachbarprovinz nach $PROVINCENAME$ übergeschwappt.;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,
EVTDESC10200_NEW;Death to the $MONARCHTITLE$!', a hoarse voice cries. The streets in $PROVINCENAME$ have come alive. A local injustice, or the perception of one, have animated the unwashed masses into rebellion against our rule and threatens to spread to the rest of the state. The revolt is still small enough that its future course has not been set in stone, and leniency might avert it, but perhaps it is best to put our foot down firmly to set an example?;;Tod dem König!', schreit eine heisere Stimme. Die Straßen in $PROVINCENAME$ sind zum Leben erwacht. Eine lokale Ungerechtigkeit bzw. das, was manche dafür ansehen, hat eine Rebellion der ungewaschenen Horden gegen unsere Herrschaft entfacht. Die Revolte ist noch klein genug, dass ihr künftiger Kurs noch nicht in Stein gemeißelt steht. Mit Milde könnte man noch etwas erreichen, aber vieleicht ist es am besten, hart vorzugehen, um ein Exempel zu statuieren?;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,
EVTNAME10205;Fighting in the Streets;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10205;Tensions in one of our provinces reached a boiling point recently, with liberals and reactionaries battling in the streets. $COUNTRY_ADJ$ police were quick to move in, but tempers remain high and already there are reports of fighting elsewhere in the state. Officials are calling for decisive action to put an end to the violence.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME10215;Inspired Nationalists;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10215;Nationalists in $COUNTRY$, inspired by the wave of liberalism in a neighboring nation, have risen up. Agitators are running through the streets waving flags and calling for their brethren to fight for freedom. Responding with violence could enflame the entire state, but $COUNTRY_ADJ$ officials agree that this cannot be allowed to continue.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME10155;Pan-Nationalist Fervor;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10155;A fervor has been sweeping through parts of $COUNTRY$, with liberal-minded revolutionaries calling for $COUNTRY_ADJ$ citizens to rise up and demand the unification of $CULTURE_GROUP_UNION$. They have begun waving $UNION_ADJ$ flags in the streets, fomenting riots and violence. The police have had difficulties dealing with the problem.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME10190_NEW;Fiery Sermon in $PROVINCENAME$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME10200_NEW;Liberal Insurrection in $PROVINCENAME$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME10210_NEW;Liberal Revolt in $PROVINCENAME$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME10216;Nationalist Fervor in $PROVINCENAME$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10216;Nationalists in $PROVINCENAME$, inspired by the wave of liberalism throughout $COUNTRY$, have risen up. Agitators are running through the streets waving flags and calling for their brethren to fight for freedom. Responding with violence could enflame the entire state, but $COUNTRY_ADJ$ officials agree that this cannot be allowed to continue.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME10221;Chartist Rally in Kennington Common;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
