#All of this is coming from TGC Endonymic Niche Submods;
Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
#### ABA ####;
ABA_absolute_monarchy;Tagelda n At 'Ebbas;x;
ABA_prussian_constitutionalism;Tagelda n At 'Ebbas;x;
ABA_hms_government;Tagelda n At 'Ebbas;x;
ABA_democracy;Tagduda n Iqbayliyen;x;
ABA_proletarian_dictatorship;Wegdud Tagduda n Iqbayliyen;x;
ABA_presidential_dictatorship;Tagduda n Iqbayliyen;x;
ABA_bourgeois_dictatorship;Tagduda n Iqbayliyen;x;
ABA_fascist_dictatorship;Tamurt n Iqbayliyen;x;
ABA_colonial_company;Tagelda n At 'Ebbas;x;
ABA_dominion;Tagelda n At 'Ebbas;x;
##### ABK #####;
ABK_absolute_monarchy;Apkhazetis Samtavro;x;
ABK_prussian_constitutionalism;Apkhazetis Samtavro;x;
ABK_hms_government;Apkhazetis Samtavro;x;
ABK_democracy;Aphsny Ahwynthkharra;x;
ABK_proletarian_dictatorship;Sotsialisttw Sovettw Respublika Aphsny;x;
ABK_presidential_dictatorship;Aphsny Ahwynthkharra;x;
ABK_bourgeois_dictatorship;Aphsny Ahwynthkharra;x;
ABK_fascist_dictatorship;Aphsny Ahwynthkharra;x;
ABK_colonial_company;Abkhazskoye Knyazhestvo;x;
ABK_dominion;Abkhazskoye Knyazhestvo;x;
##### ABU #####;
ABU_absolute_monarchy;Al-Imarat al-Mutasaliha;x;
ABU_prussian_constitutionalism;Al-Imarat al-Mutasaliha;x;
ABU_hms_government;Al-Imarat al-Mutasaliha;x;
ABU_democracy;Jumhuriat al-Khalij al-Mutahida;x;
ABU_proletarian_dictatorship;Al-Aitihad al-Aishtiraki Lidual al-Khalij;x;
ABU_presidential_dictatorship;Al-Aitihad al-Earabiu Lidual al-Mutasalaha;x;
ABU_bourgeois_dictatorship;Jumhuriat al-Khalij al-Mutahida;x;
ABU_fascist_dictatorship;Dawlat al'Iimarat al-Earabiat al-Mutahida;x;
ABU_colonial_company;Trucial States;x;
ABU_dominion;Trucial States;x;
##### ACA #####;
ACA_absolute_monarchy;Royaume d'Acadie;x;
