canned_food;Canned Food;;
ammunition;Ammunition;;
small_arms;Small Arms;;
artillery;Artillery;;
clipper_convoy;Sailships;;
steamer_convoy;Steamships;;
grain;Grain;;
fruit;Fruit;;
cattle;Livestock;;
fish;Fish;;
timber;Timber;;
cotton;Cotton;;
silk;Silk;;
rubber;Rubber;;
iron;Iron;;
coal;Coal;;
sulphur;Chemical Minerals;;
oil;Oil;;
steel;Steel;;
cement;Cement;;
lumber;Lumber;;
machine_parts;Machines;;
lubricant;Oil Products;;
chemicals;Chemicals;;
glass;Glass;;
fabric;Fabric;;
paper;Paper;;
rubber_goods;Rubber Goods;;
fuel;Fuel;;
electric_gear;Electric Gear;;
coffee;Coffee;;
tea;Tea;;
tobacco;Tobacco;;
liquor;Beer;;
regular_clothes;Regular Clothes;;
furniture;Furniture;;
soap;Soap;;
confectionery;Confectionery;;
cigarettes;Cigarettes;;
wine;Luxury Beverage;;
luxury_clothes;Luxury Clothes;;
palm_oil;Palm Oil;;
print;Print;;
pharmaceuticals;Pharmaceuticals;;
automobiles;Automobiles;;
telephones;Telephones;;
radio;Radios;;
plastic_goods;Plastic Goods;;
;;;
automobile_factory;Automobile Factory;;
automobile_factory_desc;This factory turns steel, machine parts, rubber goods and fuel into automobiles, the choice of transportation of the rich and famous. In addition to being a luxury good, it is used to equip tank and airplane brigades.;;
radio_factory;Radio Factory;;
radio_factory_desc;A radio allows instantaneous wireless communication over long distances, and effortless reception of the same transmission by many. It is thus a whole new medium of mass communication, and a major consumer good. This factory makes radios out of electric gear.;;
telephone_factory;Telephone Factory;;
telephone_factory_desc;The telephone is a major breakthrough in communications technology. This factory builds telephones out of electric gear.;;
electric_gear_factory;Electric Gear Factory;;
electric_gear_factory_desc;This factory uses iron, glass and chemical minerals to produce electric components, electromechanical devices, and various related accessories. Electric gear is needed to produce radios and telephones, and used as a luxury good to electrify homes.;;
machine_parts_factory_i;Machine Factory;;
machine_parts_factory_i_desc;Using self-powered machinery to do work rather than doing it yourself is what industrialization is about, and this factory exists to provide that machinery. Machines are built out of steel in this factory, and used to build other factories.;;
machine_parts_factory;Machine Factory;;
machine_parts_factory_desc;Using self-powered machinery to do work rather than doing it yourself is what industrialization is about, and this factory exists to provide that machinery. Machines are built out of steel, and need lubricant to keep friction from overheating them or wearing them apart.;;
fuel_refinery;Fuel Refinery;;
fuel_refinery_desc;The fuel refinery processes crude oil into liquid fuel used for a variety of purposes, particularly powering automobiles.;;
steamer_shipyard;Steam Shipyard;;
steamer_shipyard_desc;Steamships use steam engines to propel them, allowing them not only to sail regardless of the wind but also provides much greater propulsive power, allowing steamers to be built heavier and sturdier. Steamers are produced from steel, lumber and machine parts, and fueled by coal.;;
luxury_clothes_factory;Luxury Clothes Factory;;
luxury_clothes_factory_desc;Silk is the preferred luxury textile of the age. This factory uses silk and fabric to produce luxury clothing for wealthy customers.;;
steel_factory;Steel Factory;;
steel_factory_desc;Iron is smelted and mixed with coal to produce steel at this factory. Being used for both construction and machinery, steel is a vital resource that no emergent industrial power should be without.;;
artillery_factory;Artillery Factory;;
artillery_factory_desc;This factory casts, bores and assembles artillery guns of various types from steel. Artillery is required to arm a navy, and is an important support weapon for an army.;;
clipper_shipyard;Sail Shipyard;;
clipper_shipyard_desc;Even as steam-powered warships rendered sailships obsolete for combat, sailships retained their usefulness for merchant shipping due to requiring no fuel for propulsion. Building sailships requires lumber for the hull and fabric for the sails and rigging.;;
small_arms_factory;Small Arms Factory;;
small_arms_factory_desc;Small arms are produced from steel and lumber here. As small arms are what the core of a country's army is equipped with, this factory is essential for a country striving for military self-sufficiency.;;
furniture_factory;Furniture Factory;;
furniture_factory_desc;Furniture is made here from lumber. It is a necessity for every home and thus in demand by the entire population regardless of income.;;
paper_mill;Paper Mill;;
paper_mill_desc;A paper mill uses chemicals to break down timber into a fibrous pulp, which is then reformed into sheets of paper. Paper is used mainly for bookkeeping and distribution of the written word.;;
regular_clothes_factory;Regular Clothes Factory;;
regular_clothes_factory_desc;This factory uses fabric to produce cheap, utilitarian clothing for the general populace.;;
ammunition_factory;Ammunition Factory;;
ammunition_factory_desc;This factory turns iron and chemicals into a wide range of different types of ammunition, from rifle cartridges to artillery shells.;;
canned_food_factory;Meat Cannery;;
canned_food_factory_desc;Canning is the preservation of food by temporarily sterilizing it and sealing it in airtight metal cans. It is a relatively convenient and cost-efficient method of food preservation and thus, canned food is used to feed urban populations and troops in the field. This factory turns livestock into canned food.;;
canned_food_factory_fish;Fish Cannery;;
canned_food_factory_fish_desc;Canning is the preservation of food by temporarily sterilizing it and sealing it in airtight metal cans. It is a relatively convenient and cost-efficient method of food preservation and thus, canned food is used to feed urban populations and troops in the field. This factory turns fish into canned food.;;
liquor_distillery;Brewery;;
liquor_distillery_desc;Beer has been brewed from grain since time immemorial, and this factory uses the latest industrial technology to do it more efficiently than ever before. Beer is an everyday consumer good consumed in large amounts by all strata of society.;;
winery;Winery;;
winery_desc;Wine is a luxury beverage produced by fermenting fruit. It is consumed by the rich, and by lower classes should they obtain the means to do so.;;
whisky_distillery;Whisky Distillery;;
whisky_distillery_desc;Whisky is liquor produced by fermenting grain and distilling the result. The outcome is a luxury good consumed by wealthy consumers.;;
lumber_mill;Lumber Mill;;
lumber_mill_desc;A lumber mill saws raw timber into lumber. Lumber is used to build a wide range of things, from countryside houses to kitchen tables to warships.;;
fabric_factory;Cotton Mill;;
fabric_factory_desc;A cotton mill weaves, bleaches, dyes and looms cotton into fabric. It is, arguably, the factory that started the whole Industrial Revolution.;;
fabric_factory_wool;Wool Mill;;
fabric_factory_wool_desc;A wool mill weaves, bleaches, dyes and looms wool from wool-producing livestock into fabric.;;
cement_factory;Cement Factory;;
cement_factory_desc;Cement is made by heating clay and limestone in a kiln, and grinding it to a fine powder. It is, along with steel, the material that the growing industrial cities of the age are built of. It is used to build factories and used as a consumer good to build housing, mainly by craftsmen, clerks and capitalists.;;
glass_factory;Glass Factory;;
glass_factory_desc;Glass is produced in a coal-powered kiln from silica mixed with various minerals. It is mainly used as a consumer good in the form of windows, mirrors and glassware, but also as an industrial intermediate good.;;
confectionery_factory;Confectionery Factory;;
confectionery_factory_desc;Confectionery is a catch-all term for sweet food products: Candy, cakes, pastries, biscuits, chocolate. It is a good consumed by all strata of the population.;;
palm_oil_lubricant_factory;Palm Oil Product Factory;;
palm_oil_lubricant_factory_desc;The industrial age created a whole new need for reliable lubrication of machines, and palm oil is particularly well suited for the purpose. This factory turns palm oil into lubricant and related products such as lamp oil. Lubricant is required for the maintenance of factories as well as consumed by the strata able to afford luxury goods.;;
whale_oil_lubricant_factory;Whale Oil Product Factory;;
whale_oil_lubricant_factory_desc;The industrial age created a whole new need for reliable lubrication of machines, and the oil of sperm whales is particularly well suited for the purpose. This factory turns fish into lubricant.;;
oil_lubricant_factory;Oil Product Factory;;
oil_lubricant_factory_desc;The invention of vacuum distillation enabled the production of high-quality lubricant from crude petroleum. This factory does just that, turning crude oil into lubricant for industrial use and other miscellaneous oil products for consumer use, such as photogene.;;
rubber_goods_factory;Rubber Goods Factory;;
rubber_goods_factory_desc;Vulcanization enabled rubber to be used to produce goods that are simultaneously elastic, waterproof and wear-resistant. This led to the appearance of a wide range of rubber goods, such as footwear, insulation, and tires. This factory turns rubber into rubber goods.;;
chemical_factory;Chemical Plant;;
chemical_factory_desc;A chemical industry produces a wide range of products, such as paints, dyes, soda, lye and nitroglycerin. The chemical plant turns raw chemical minerals into refined chemicals, an input of many other factories.;;
soap_factory;Soap Factory;;
soap_factory_desc;Soap is what keeps people and places clean, and thus is an everyday consumer good for the entire population. In this factory, soap is made from palm oil and alkaline chemicals.;;
plastic_factory;Plastic Factory;;
