overpopulation1;Overpopulated Province;;
overpopulation2;Severely Overpopulated Province;;
clergy_max_power;Extremely Prominent Clergy;;
clergy_max_power_desc;The state religion and its influence permeates society, and the clergy is one of its pillars. The level of clerical prominence is determined by the number of clergymen in the country and the religious policy of the ruling party.;;
clergy_high_power;Highly Prominent Clergy;;
clergy_high_power_desc;The clergy are a powerful institution that holds sway throughout society. The level of clerical prominence is determined by the number of clergymen in the country and the religious policy of the ruling party.;;
clergy_medium_power;Moderately Prominent Clergy;;
clergy_medium_power_desc;The clergy is a significant force in public life in the country. The level of clerical prominence is determined by the number of clergymen in the country and the religious policy of the ruling party.;;
clergy_low_power;Modestly Prominent Clergy;;
clergy_low_power_desc;The prominence of the clergy in public life has declined. The level of clerical prominence is determined by the number of clergymen in the country and the religious policy of the ruling party.;;
prosperity_poor;Poor Country;;
prosperity_poor_desc;Our country is poor. The large masses of our people have a living standard barely above subsistence.;;
prosperity_unremarkable;Unremarkably Prosperous Country;;
prosperity_unremarkable_desc;There is nothing much to say about the prosperity of our country. It is not prosperous by any means, but not destitutely poor either.;;
prosperity_fair;Fairly Prosperous Country;;
prosperity_fair_desc;Our country is fairly prosperous. Most people live significantly above a subsistence level.;;
prosperity_decent;Decently Prosperous Country;;
prosperity_decent_desc;Our country is decently prosperous. Almost everyone have their basic life needs met, and then some. Life is decent.;;
prosperity_solid;Solidly Prosperous Country;;
prosperity_solid_desc;Our country is solidly prosperous. Our people have pretty much everything they could wish for. That is, until they start wishing for things that they previously could never have imagined to be within reach.;;
prosperity_affluent1;Affluent Country;;
prosperity_affluent1_desc;Our country is prosperous to the extent that it is transforming society. The great mass of the people have started to afford things that used to just be luxuries for the rich.;;
prosperity_affluent2;Quite Rich Country;;
prosperity_affluent2_desc;Our country is quite rich. The exclusive luxuries of times past have become widespread among the populace. The rich are scrambling to find new, even more expensive luxuries to set them apart from the masses.;;
prosperity_affluent3;Rich Country;;
prosperity_affluent3_desc;Our country is rich indeed, and widely renowned for its prosperity. Other countries want to be like us, and their people want to come here.;;
prosperity_affluent4;Very Rich Country;;
prosperity_affluent4_desc;Our country is very rich indeed, and widely renowned for its prosperity. Other countries want to be like us, and their people want to come here.;;
prosperity_affluent5;Unbelievably Rich Country;;
prosperity_affluent5_desc;If you see this in the game, I would like to know how you got where you are. A savegame would be appreciated.;;
local_prosperity;Local Prosperity;;
local_prosperity_desc;This province is significantly more prosperous than the rest of the country, and thus attracts lots of migrants.;;
negateplurality_10;Plurality;;
negateplurality_10_desc;This modifier exists to negate the increase on POP needs caused by plurality. Thanks to it, plurality has no net effect on POP needs, neither positive nor negative.;;
negateplurality_15;Plurality;;
negateplurality_15_desc;This modifier exists to negate the increase on POP needs caused by plurality. Thanks to it, plurality has no net effect on POP needs, neither positive nor negative.;;
negateplurality_20;Plurality;;
negateplurality_20_desc;This modifier exists to negate the increase on POP needs caused by plurality. Thanks to it, plurality has no net effect on POP needs, neither positive nor negative.;;
negateplurality_25;Plurality;;
negateplurality_25_desc;This modifier exists to negate the increase on POP needs caused by plurality. Thanks to it, plurality has no net effect on POP needs, neither positive nor negative.;;
negateplurality_30;Plurality;;
negateplurality_30_desc;This modifier exists to negate the increase on POP needs caused by plurality. Thanks to it, plurality has no net effect on POP needs, neither positive nor negative.;;
negateplurality_35;Plurality;;
negateplurality_35_desc;This modifier exists to negate the increase on POP needs caused by plurality. Thanks to it, plurality has no net effect on POP needs, neither positive nor negative.;;
negateplurality_40;Plurality;;
negateplurality_40_desc;This modifier exists to negate the increase on POP needs caused by plurality. Thanks to it, plurality has no net effect on POP needs, neither positive nor negative.;;
negateplurality_45;Plurality;;
negateplurality_45_desc;This modifier exists to negate the increase on POP needs caused by plurality. Thanks to it, plurality has no net effect on POP needs, neither positive nor negative.;;
negateplurality_5;Plurality;;
negateplurality_5_desc;This modifier exists to negate the increase on POP needs caused by plurality. Thanks to it, plurality has no net effect on POP needs, neither positive nor negative.;;
negateplurality_50;Plurality;;
negateplurality_50_desc;This modifier exists to negate the increase on POP needs caused by plurality. Thanks to it, plurality has no net effect on POP needs, neither positive nor negative.;;
negateplurality_55;Plurality;;
negateplurality_55_desc;This modifier exists to negate the increase on POP needs caused by plurality. Thanks to it, plurality has no net effect on POP needs, neither positive nor negative.;;
negateplurality_60;Plurality;;
negateplurality_60_desc;This modifier exists to negate the increase on POP needs caused by plurality. Thanks to it, plurality has no net effect on POP needs, neither positive nor negative.;;
negateplurality_65;Plurality;;
negateplurality_65_desc;This modifier exists to negate the increase on POP needs caused by plurality. Thanks to it, plurality has no net effect on POP needs, neither positive nor negative.;;
negateplurality_70;Plurality;;
negateplurality_70_desc;This modifier exists to negate the increase on POP needs caused by plurality. Thanks to it, plurality has no net effect on POP needs, neither positive nor negative.;;
negateplurality_75;Plurality;;
negateplurality_75_desc;This modifier exists to negate the increase on POP needs caused by plurality. Thanks to it, plurality has no net effect on POP needs, neither positive nor negative.;;
negateplurality_80;Plurality;;
negateplurality_80_desc;This modifier exists to negate the increase on POP needs caused by plurality. Thanks to it, plurality has no net effect on POP needs, neither positive nor negative.;;
negateplurality_85;Plurality;;
negateplurality_85_desc;This modifier exists to negate the increase on POP needs caused by plurality. Thanks to it, plurality has no net effect on POP needs, neither positive nor negative.;;
negateplurality_90;Plurality;;
negateplurality_90_desc;This modifier exists to negate the increase on POP needs caused by plurality. Thanks to it, plurality has no net effect on POP needs, neither positive nor negative.;;
negateplurality_95;Plurality;;
negateplurality_95_desc;This modifier exists to negate the increase on POP needs caused by plurality. Thanks to it, plurality has no net effect on POP needs, neither positive nor negative.;;
negateplurality_99;Plurality;;
negateplurality_99_desc;This modifier exists to negate the increase on POP needs caused by plurality. Thanks to it, plurality has no net effect on POP needs, neither positive nor negative.;;
random_immigration_factor1;Very low immigration;;
random_immigration_factor2;Low immigration;;
random_immigration_factor3;Average immigration;;
random_immigration_factor4;High immigration;;
random_immigration_factor5;Very high immigration;;
random_immigration_factor1_desc;Immigration is currently much lower than usual.;;
random_immigration_factor2_desc;Immigration is currently lower than usual.;;
random_immigration_factor3_desc;Immigration is currently neither particularly high or low compared to the recent past.;;
random_immigration_factor4_desc;Immigration is currently higher than usual.;;
random_immigration_factor5_desc;Immigration is currently much higher than usual.;;
populationsize_30k;Population over 30 thousand;;
populationsize_100k;Population over 100 thousand;;
populationsize_300k;Population over 300 thousand;;
populationsize_1M;Population over 1 million;;
populationsize_2M;Population over 2 million;;
populationsize_3M;Population over 3 million;;
populationsize_5M;Population over 5 million;;
populationsize_10M;Population over 10 million;;
populationsize_20M;Population over 20 million;;
populationsize_30M;Population over 30 million;;
populationsize_50M;Population over 50 million;;
populationsize_100M;Population over 100 million;;
populationsize_200M;Population over 200 million;;
populationsize_300M;Population over 300 million;;
populationsize_500M;Population over 500 million;;
populationsize_1B;Population over 1 billion;;
coal_event_3_title;Coal mine opened in $PROVINCENAME$;;
coal_event_3_desc;Industrialization led to an ever-increasing demand for coal, and many new mines would be opened during the era.;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;Erster Mähdrescher in $PROVINCENAME$
;;;'Mutter, warum haben wir noch keinen McCormick-Mähdrescher? Jeder andere hat schon einen!'\n\nIm frühen 19. Jahrhundert wurden diverse mechanische Werkzeuge für die Landwirtschaft entwickelt: zum säen, ernten, dreschen oder die Forstwirtschaft.
;;;Wir ernten, was wir säten
;;;
;;;Dampfmaschinen in $PROVINCENAME$
;;;'Mutter, hörst du das? Da ist ein neues Ding in der Mine, welches die Steine von ganz alleine bewegt.'\n\nEine der ersten Einsätze für Dampfmaschinen war der Transport des Erzes aus den Minen. Diese frühe Entwicklung der Industriellen Revolution hat nun Einzug gehalten in die Minen von $PROVINCENAME$.
;;;Auf gehts
;;;
;;;
;;;
;;;
;;;
;;;Lancashire Webstuhl
;;;This was the first semi-automatic loom. With a single operator action, it kept weaving until the shuttle ran out of thread. Consequently, a single worker could operate several looms simultaneously, increasing productivity.
;;;Einfachnaht-Nähmaschine
;;;A lockstitch seam is one consisting of two threads on opposite sides of the cloth, held in place by being entwined at each hole made by the needle. It is a simple but very neat and durable seam, and a machine capable of quickly producing one will improve the efficiency of clothing production.
;;;Einspannvorrichtungen
;;;Die Einführung von Einspannvorrichtungen steigerte die Effizienz aller Maschinen enorm, was wiederum die Produktion der meisten Industriegüter steigerte.
;;;Mechanische Bandsäge
;;;Band saws offer an advantage over circular saws both in being able to make curved cuts and in having a smaller cut width, wasting less wood as sawdust.
;;;Northrops Mechanischer Webstuhl
;;;This was the first fully automatic loom, improving on earlier semi-automatic looms by adding an automatic loading mechanism to replace empty shuttles without any operator action. It allowed a single worker to operate up to 16 looms at once.
;;;Doppelnaht
;;;The overlock pattern consists of two parallel seams connected by a crisscrossing third seam. It is a very durable pattern. Machines capable of producing such a pattern will efficiently produce clothing of high quality.
;;;Packautomaten
;;;The assembly line enhances many manufacturing processes, but particularly ones that consist of a sequence of mechanically simple actions, such as packaging.
;;;Colburn Glaswalze
;;;This was a machine that mechanically rolled molten glass into flat panes, allowing for efficient mass production of windows.
;;;Owens Glasblasautomat
;;;Mechanization of the act of glassblowing itself increased the output of the glassware industry tremendously.
;;;Drehrohröfen
;;;The rotary kiln allowed for cement to be heated with higher thermal efficiency than before, while simultaneously being mixed, with continuous feeding of raw material and removal of final cement. Its introduction increased both the quality and quantity of cement produced.
;;;Portland Zement
;;;By using calcium sulphate as the reactive ingredient, Portland cement yielded concrete that was both stronger and faster to settle than earlier formulas.
;;;Rauchfreier Sprengstoff
