CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
sugar;Sugar;;;;;;;;;x
sugar_plantation;Sugar Plantation;;;;;;;;;x
rum_distillery;Rum Distillery;;;;;;;;;x
artisan_rum;Moonshiner;;;;;;;;;x
spices;Spices;;;;;;;;;x
spice_plantation;Spice Plantation;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
synthetic_rubber_factory;Synthetic Rubber Factory;;;;;;;;;x
sugar_beet_refinery;Sugar Beet Refinery;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
copper;Copper;;;;;;;;;x
copper_RGO_SIZE;Copper Mine Size;;;;;;;;;x
lead;Lead;;;;;;;;;x
lead_RGO_SIZE;Lead Mine Size;;;;;;;;;x
bronze;Bronze;;;;;;;;;x
copper_mine;Copper Mine;;;;;;;;;x
lead_mine;Lead Mine;;;;;;;;;x
bronze_factory;Bronze Foundry;;;;;;;;;x
artisan_bronzeworker;Bronzeworker;;;;;;;;;x
bronze_artillery_factory;Bronze Artillery Factory;;;;;;;;;x
artisan_bronze_artillery;Artisan Bronze Artillery;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
cocoa;Cocoa;;;;;;;;;x
fur;Furs;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
cocoa_plantation;Cocoa Plantation;;;;;;;;;x
fur_trapper;Furrier;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
sea_fuel_refinery;Industrial Trywork;;;;;;;;;x
fur_luxury_clothes_factory;Luxury Clothes Factory (Fur);;;;;;;;;x
luxury_clothes_factory;Luxury Clothes Factory (Silk);;;;;;;;;x
fursil_luxury_clothes_factory;Luxury Clothes Factory (Fur & Silk);;;;;;;;;x
fur_trapper;Fur Trapper;;;;;;;;;x
artisan_fur_luxury_clothes;Luxury Clothier (Fur);;;;;;;;;x
artisan_fursil_luxury_clothes;Luxury Clothier (Fur & Silk);;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
bronze_artillery_production;Bronze Artillery Production;;;;;;;;;;;;;x,
bronze_artillery_production_desc;We have advanced our methods of producing artillery. These must be communicated to our factories,so modern artillery may be mass-produced for our armies.;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;;;;;;;;;;;;x
