Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;
AHU;Australia-Hungary;;;;;;;;;
AHU_theocracy;Holy Hungaro-Australian Empire;;;;;;;;;
AHU_absolute_monarchy;Australia-Hungary;;;;;;;;;
AHU_prussian_constitutionalism;Australia-Hungary;;;;;;;;;
AHU_hms_government;Australia-Hungary;;;;;;;;;
AHU_absolute_empire;Australio-Hungarian Empire;;;;;;;;;
AHU_semi_constitutional_empire;Australio-Hungarian Empire;;;;;;;;;
AHU_constitutional_empire;Australio-Hungarian Empire;;;;;;;;;
AHU_fascist_dictatorship;Australian-Hungarian State;;;;;;;;;
AHU_prov_gov_liberal_two;Union of Australia-Hungary;;;;;;;;;
AHU_prov_gov_liberal;United States of Australia-Hungary;;;;;;;;;
AHU_ADJ;Australian-Hungarian;;;;;;;;;
